CENSUS TRACT,Median Income,Median Income no benefits,Median Income w benefits
17031191302,46000,52778,31985
17031200100,41131,41698,34531
17031200200,44077,55082,23490
17031200300,38571,56979,27865
17031200401,42109,48194,40523
17031200402,52482,52199,58654
17031210100,70234,71328,-
17031210400,51141,56542,22708
17031210501,47917,51165,18289
17031210502,52908,55625,28319
17031210601,66994,71850,32500
17031210602,59408,68850,22039
17031210700,64569,81389,35625
17031210800,61739,61848,-
17031210900,72366,81154,16793
17031220300,88942,90739,33056
17031220400,95333,98529,-
17031220500,91389,92827,66042
17031220601,75438,77500,39219
17031220602,46276,56920,20550
17031220701,65417,66563,54833
17031220702,61733,68254,24464
17031220901,47778,75375,19783
17031220902,56667,60057,42569
17031221000,47344,55682,26750
17031221100,55194,60938,16458
17031221200,91354,97568,50708
17031221300,56725,67500,29531
17031221400,78972,81917,35893
17031221500,64495,70100,11929
17031221600,133438,134688,-
17031222200,134500,133917,153375
17031222500,79250,89338,-
17031222600,80735,80662,-
17031222700,62733,66250,15536
17031222800,42039,46912,11797
17031222900,46985,52768,34286
17031230100,55000,59844,22188
17031230200,55605,62589,9318
17031230300,39653,46848,30515
17031230400,58250,70208,24000
17031230500,31288,37891,11716
17031230600,41931,57500,29688
17031230700,40636,45000,21453
17031230800,55365,61786,26215
17031230900,43438,54821,19875
17031231100,32895,35278,27500
17031231200,33627,37365,22529
17031231500,31888,37576,29867
17031240200,128864,144500,10000
17031240300,124141,127768,-
17031240500,156389,159853,-
17031240600,105938,110893,42404
17031240700,76875,88333,19792
17031240800,48350,51500,-
17031240900,37277,59792,11579
17031241000,65900,75125,14712
17031241100,75658,87500,25893
17031241200,106339,121923,11384
17031241300,145938,153676,-
17031241400,104167,123257,9258
17031241500,128125,132879,-
17031241600,93583,94583,-
17031242000,82778,114079,13550
17031242100,133951,140179,48371
17031242200,113618,121087,"2,500-"
17031242300,93980,94243,-
17031242400,85000,90292,34306
17031242500,68036,77868,12308
17031242600,57362,67984,14115
17031242700,48333,57188,19904
17031242800,86806,98393,"2,500-"
17031242900,85917,91042,36500
17031243000,77794,80104,26528
17031243100,107734,120398,-
17031243200,123167,124875,-
17031243300,91071,96176,-
17031243400,95764,111528,31905
17031243500,104423,119028,-
17031250200,46250,64355,23269
17031250300,32225,45052,23047
17031250400,45479,47348,26167
17031250500,90058,95938,22101
17031250600,43625,47679,-
17031250700,40349,44194,31000
17031250800,32500,47794,23750
17031251000,37656,43571,26319
17031251100,22526,30305,16401
17031251200,47875,53125,36625
17031251300,29917,31780,26250
17031251400,30196,38636,15517
17031251500,22905,30380,16682
17031251600,35264,55644,26458
17031251700,38000,40625,36125
17031251800,22984,24448,20964
17031251900,21281,31172,13024
17031252000,20611,37571,14087
17031252101,19023,29199,8725
17031252102,34829,38309,32386
17031252201,32051,40577,18112
17031252202,26230,36152,16630
17031260100,14303,15882,10855
17031260200,30114,40263,26076
17031260300,22236,30190,20667
17031260400,19697,30833,18558
17031260500,29286,40048,-
17031260600,25625,30000,16827
17031260700,22339,32344,17963
17031260800,23944,35625,16574
17031260900,28750,41583,20948
17031261000,34000,38667,24573
17031270500,14453,27250,10313
17031271200,26984,36250,22083
17031271300,24340,41364,12250
17031271400,20759,28750,15000
17031271500,28846,52344,16328
17031271800,17905,18929,-
17031280100,125708,126750,-
17031280400,36698,62539,-
17031280800,17143,29583,12472
17031280900,18269,68750,7083
17031281900,102902,102902,-
17031282700,80313,88333,-
17031282800,54837,61875,-
17031283100,38798,49850,9219
17031283200,74890,91875,-
17031283800,74333,90250,12429
17031290900,28226,38155,20165
17031291200,23819,44643,11696
17031291600,47647,48309,32750
17031292200,32237,45183,13813
17031292400,31083,38750,17303
17031292500,40131,45111,24854
17031300500,38113,41139,21650
17031300600,44492,52232,18417
17031300700,36224,36038,36449
17031300800,29949,32174,27839
17031300900,26833,31910,21685
17031301100,28723,31910,24375
17031301200,27328,49856,24861
17031301600,35411,37467,27036
17031301701,29773,39758,25353
17031301702,39614,43523,31735
17031301801,34427,40219,21325
17031301802,35925,37433,21382
17031301803,32308,34879,25457
17031310200,70428,72105,57250
17031310300,51576,59375,16250
17031310400,62614,63239,53750
17031310500,46875,58103,30461
17031310600,35175,43406,19143
17031310700,44391,51917,-
17031310800,52152,53372,30530
17031310900,41281,51833,20727
17031320100,116909,116909,-
17031320400,176000,176000,-
17031320600,101679,103197,11292
17031330100,102303,112790,12835
17031330200,77578,91389,13054
17031340300,26220,35625,12760
17031340400,45329,45855,43000
17031340500,26042,40577,11184
17031340600,12713,14153,10913
17031350100,42018,43958,-
17031350400,13587,24844,11317
17031351000,44727,47825,-
17031351100,10455,-,8981
17031351400,15997,51250,10670
17031351500,24063,56964,13313
17031360200,22242,26083,15000
17031380100,17600,-,10140
17031380200,23958,33913,12309
17031380500,20924,23984,17933
17031380700,41250,60000,-
17031381200,27828,45909,15407
17031381400,33618,44122,21307
17031381500,30962,41397,13250
17031381700,-,-,-
17031381800,51607,74917,14013
17031381900,46750,54777,22155
17031390100,62574,90417,-
17031390200,97786,105372,16700
17031390300,22808,35043,12589
17031390400,24174,42530,12756
17031390500,49042,66979,11667
17031390600,63750,83393,-
17031390700,59953,60197,-
17031400300,35000,55833,9609
17031400400,35043,40658,24167
17031400500,27979,41250,15375
17031400800,20571,34018,13017
17031410100,43846,49412,-
17031410200,40915,41674,12109
17031410500,51643,63531,8588
17031410600,36734,36774,-
17031410700,38852,39385,-
17031410800,42201,46875,12534
17031410900,57188,58691,13571
17031411000,70333,71417,-
17031411100,111250,115250,-
17031411200,84605,88352,-
17031420100,19750,27287,16097
17031420200,37143,57772,12313
17031420300,39091,50809,-
17031420400,12306,25670,9250
17031420500,37806,41239,10347
17031420600,23625,30333,11958
17031420700,18983,29353,10777
17031420800,34333,53988,-
17031421200,20500,26905,13696
17031430101,29750,42426,12500
17031430102,23740,32695,11250
17031430200,22945,37738,9980
17031430300,17441,25911,9339
17031430400,29583,36207,13413
17031430500,18432,30972,14063
17031430600,30493,31711,20938
17031430700,19137,21800,-
17031430800,44286,43571,48056
17031430900,41908,53656,19231
17031431200,49413,72764,-
17031431301,21933,34832,13934
17031431302,31377,53913,14943
17031431400,28952,42017,18517
17031440101,21856,27225,19561
17031440102,28393,34054,18295
17031440201,26508,38080,14312
17031440202,30100,44250,12721
17031440300,53594,59209,-
17031440600,71417,75483,55735
17031440700,37228,52083,27898
17031440800,25931,32000,14946
17031440900,30714,54286,20776
17031450300,44333,44782,34679
17031460100,35000,50459,24130
17031460200,27976,42417,16205
17031460301,35845,40688,13750
17031460302,27391,31080,20179
17031460400,39605,55854,22048
17031460500,46162,43833,-
17031460600,38315,42130,23309
17031460700,23972,42434,12536
17031461000,14511,23438,10884
17031470100,25287,35321,22686
17031480100,61495,62328,-
17031480200,45441,47353,36912
17031480300,34107,47422,15000
17031480400,50426,54052,34796
17031480500,40250,52045,28085
17031490300,55667,62778,24500
17031490400,51141,51793,-
17031490500,54137,62361,45429
17031490600,39527,40288,39115
17031490700,39787,46250,22212
17031490800,40612,49155,26184
17031490901,38693,47567,28125
17031490902,45273,49205,30536
17031491000,24727,35344,18681
17031491100,41167,50000,27222
17031491200,40167,44167,33594
17031491300,30000,52880,23047
17031491400,29737,36932,23769
17031500100,46517,54135,43548
17031500200,27247,58750,21359
17031500300,42263,44878,13036
17031510100,36081,44596,27679
