CENSUS TRACT,Median Income,Median Income no benefits,Median Income w benefits
17031819500,79464,88292,36330
17031819600,150273,150586,-
17031819700,175078,176758,51164
17031819801,162765,163144,118750
17031819802,148646,149271,-
17031819900,179338,179338,-
17031820000,218000,214583,-
17031820101,100339,104891,-
17031820103,64152,68043,48375
17031820104,60000,71125,-
17031820201,106317,106261,115133
17031820202,52478,60458,23500
17031820300,58301,64792,38488
17031820400,41144,44958,31607
17031820501,65016,66234,31152
17031820502,52894,58508,20820
17031820603,57557,65673,39278
17031820604,40746,44342,18750
17031820605,48148,49258,35577
17031820606,73281,73750,-
17031820700,59467,63371,-
17031820800,71831,75903,33056
17031820901,54625,58103,41250
17031820902,73646,78548,46806
17031821001,57148,58889,43007
17031821002,58153,63306,29964
17031821101,63429,65000,51731
17031821102,63388,80685,27045
17031821200,39939,51250,31467
17031821300,43870,48053,23000
17031821401,43560,44226,43115
17031821402,49300,50761,24423
17031821500,30222,36875,19063
17031821600,64102,72009,25514
17031821700,87500,92530,48295
17031821800,71316,73583,19583
17031821900,71393,74000,40365
17031822000,49359,49594,-
17031822101,70030,71372,-
17031822102,54004,55642,32143
17031822200,93723,94348,63750
17031822301,63973,65755,25481
17031822302,54241,61531,23295
17031822400,41902,48242,28777
17031822500,71949,77153,40506
17031822601,77500,80109,38182
17031822602,62843,66583,22230
17031822701,55662,64003,31563
17031822702,52963,60775,32893
17031822801,58569,59335,11125
17031822802,64646,71071,49688
17031822900,57857,55714,68333
17031823001,45292,52636,26730
17031823002,50024,58674,15188
17031823101,49702,61328,-
17031823102,71830,77300,31654
17031823200,68208,68554,63487
17031823302,49662,48684,68240
17031823303,63065,61467,81406
17031823304,49014,53507,16450
17031823400,47371,51922,26006
17031823500,56331,62941,31964
17031823602,63017,65846,-
17031823603,40521,44231,20882
17031823604,86944,88262,-
17031823605,61250,62264,-
17031823702,56938,58253,37903
17031823703,53549,61302,22167
17031823704,99306,100847,-
17031823705,58895,62083,-
17031823801,88750,87458,-
17031823803,66287,74973,30955
17031823805,54594,55313,-
17031823806,50855,54359,16400
17031823901,84116,85875,79550
17031823903,83828,83906,-
17031823904,85119,85119,-
17031824003,92984,93172,-
17031824004,71250,84559,-
17031824005,106656,112083,-
17031824006,124519,125461,-
17031824105,106978,110855,41013
17031824106,91250,97315,25906
17031824107,73825,73937,-
17031824108,85932,92579,17056
17031824113,95668,96595,-
17031824114,104861,105250,-
17031824115,69342,76154,34483
17031824116,67870,81000,35625
17031824117,97899,100393,49303
17031824119,98854,100948,-
17031824120,105942,107029,-
17031824121,81480,83063,52438
17031824122,99038,100711,-
17031824123,66981,68548,-
17031824300,26342,33589,18324
17031824400,31694,38790,14432
17031824503,66027,67088,45074
17031824505,80365,80719,-
17031824506,66024,66278,-
17031824507,61774,71654,15994
17031824601,75442,76356,55278
17031824602,61461,62779,30048
17031824701,66840,73225,-
17031824702,52978,59471,-
17031824800,46156,48011,20270
17031824900,34000,42468,24844
17031825000,63931,72756,19301
17031825200,80592,82798,-
17031825302,62214,65291,42367
17031825303,65216,67112,42969
17031825304,65720,71131,26150
17031825400,63191,64178,13153
17031825501,48975,54695,20904
17031825503,58531,59677,-
17031825504,45729,51583,31338
17031825505,62602,65588,51917
17031825600,42417,51111,35602
17031825700,43983,50568,14886
17031825801,44456,49966,30652
17031825802,44242,61622,27604
17031825803,47423,60690,24919
17031825900,43587,47273,24444
17031826000,45809,47059,27656
17031826100,47390,54257,33107
17031826201,33989,42500,12179
17031826202,39375,41549,29936
17031826301,52917,57981,-
17031826303,46837,47093,37639
17031826304,34500,39844,-
17031826401,53910,57734,38380
17031826402,53221,61094,25870
17031826500,41653,48559,23190
17031826600,38269,42733,21346
17031826700,31725,32436,29375
17031826800,37846,42273,28906
17031826901,25296,25192,25350
17031826902,27697,25000,33482
17031827000,31716,37645,20513
17031827100,28405,45170,13083
17031827200,38077,42614,33000
17031827300,21015,21443,14528
17031827400,21455,32961,13365
17031827500,37350,45839,24653
17031827600,37500,51250,10556
17031827700,36657,43507,19189
17031827801,59213,63144,49464
17031827802,67319,67228,-
17031827804,72500,74333,56442
17031827805,63750,64545,-
17031827901,78841,81012,-
17031827902,47844,59858,20740
17031828000,43429,51012,-
17031828100,54940,62260,-
17031828201,53343,49278,67344
17031828202,59935,70586,17991
17031828300,57449,58476,-
17031828401,67778,70145,26500
17031828402,46713,54792,24605
17031828503,38918,45208,33047
17031828504,45625,51194,29750
17031828505,51485,58203,19709
17031828506,54518,55465,40299
17031828601,77608,78642,26406
17031828602,92630,93614,30469
17031828701,74821,75813,-
17031828702,57361,64196,30129
17031828801,88225,89425,50167
17031828802,70337,73378,58603
17031828900,39318,52064,9705
17031829000,19716,37031,15078
17031829100,31269,42426,20224
17031829200,48763,50030,20759
17031829301,70313,73375,-
17031829302,26167,33438,20636
17031829401,30511,33971,28155
17031829402,39375,40017,32159
17031829500,38082,47193,6053
17031829600,48958,50788,19185
17031829700,39044,49978,20500
17031829800,106079,107175,-
17031829901,77098,77344,74141
17031829902,77518,81853,23852
17031830001,40417,41688,37821
17031830003,92660,93700,56200
17031830004,85750,89265,75750
17031830005,97237,97656,-
17031830006,54575,56114,-
17031830007,44595,51475,19507
17031830008,86160,89548,47841
17031830100,71744,70552,81653
17031830201,49719,59383,13783
17031830202,96607,106701,55490
17031830300,34088,40579,9515
17031830400,55570,57458,31713
17031830500,39401,46536,-
17031830600,47355,61250,24640
17031830700,51950,67526,9004
17031830800,72500,73750,"2,500-"
17031830900,102250,105809,68802
17031831000,159020,159020,-
17031831100,60745,60616,-
17031831200,37880,44828,22554
17031831300,39896,43454,-
17031831400,33456,48125,19596
17031831500,58307,58880,-
17031831600,40262,42604,30598
17031831700,54737,75735,26750
17031831800,53529,61825,30406
17031831900,109643,109643,-
17031832000,115192,115673,-
17031832100,72778,77554,"2,500-"
17031832200,106840,107052,-
17031832300,104954,108000,-
17031832400,103750,109632,19318
17031832500,132222,154018,12361
17031832600,148616,149018,-
17031832900,55284,57216,-
17031833000,141378,148710,9722
17031833100,114007,132237,11654
17031833300,52500,53007,-
17031833900,30417,41815,19250
17031834000,30806,38347,19464
17031834200,47727,66250,-
17031834300,42766,52231,9629
17031834400,49091,71065,20717
17031834500,31362,32829,20294
17031834600,24500,29375,16797
17031834700,22104,31385,19000
17031834800,21101,27005,10887
17031834900,19676,25903,12011
17031835000,26498,30982,20283
17031835100,39398,46287,30039
17031835200,47581,49457,32308
17031835500,23051,42917,12375
17031835600,23918,23835,24531
17031835700,45885,-,-
17031835800,49239,73393,20758
17031835900,19015,46023,11757
17031836000,65667,72381,-
17031836100,26102,65000,19515
17031836200,110357,110357,-
17031836300,49167,55764,-
17031836400,30616,51553,12457
17031836500,29972,43929,16449
17031836600,43571,48854,26167
17031836700,28365,40573,15707
17031836800,13736,20174,9933
17031836900,22109,-,17266
17031837000,26538,52740,9414
17031837100,25556,41827,10919
17031837300,27406,32535,-
17031837400,40417,51563,-
17031837800,60417,70000,-
17031838000,22951,63108,10563
17031838100,16953,53063,10635
17031838200,42313,55288,26458
17031838300,58542,75288,19896
17031838600,17652,20213,13966
17031838700,25405,30518,22250
17031838800,25332,44412,11048
17031839000,102188,107785,8517
17031839100,94667,94969,-
17031839200,33295,39375,12414
17031839500,19375,-,9709
17031839600,33598,43954,14259
17031839700,50982,61667,15273
17031839800,50595,51190,-
17031839900,62536,80263,18194
17031840000,80000,90882,34808
17031840100,46509,50800,30288
17031840200,57308,64250,33250
17031840300,48622,51125,37500
17031840400,44861,53008,11250
17031840700,37966,41989,28125
17031840800,31752,35402,30066
17031841000,97188,102167,8594
17031841100,30676,41359,13882
17031841200,44336,49336,35457
17031841300,50039,51172,-
17031841400,26439,44554,20104
17031841500,28807,35688,18194
17031841600,21974,22679,19219
17031841700,22444,37885,13889
17031841800,37328,45179,24403
17031841900,116377,116610,-
17031842000,91548,95179,-
17031842100,35309,41888,21838
17031842200,99440,125000,14861
17031842300,132794,134301,30847
17031842400,39097,41036,26854
17031842500,9787,19766,6375
17031842600,62813,66979,46705
17031842800,34327,38464,29036
17031842900,19429,25536,13772
17031843000,21198,29702,15732
17031843100,20417,21563,18750
17031843200,47083,49276,23929
17031843300,47321,71167,19430
17031843400,25078,31815,16094
17031843500,27891,29375,23304
17031843600,39602,48795,25724
17031843700,112386,123393,11146
17031843800,34375,43456,23839
17031843900,34381,50374,10924
17031980000,-,-,-
17031980100,-,-,-
17031990000,-,-,-
