FIPS,State,County,Adult Diabetes Rate (2008),Adult diabetes rate (2013),Adult obesity rate (2008),Adult obesity rate (2013),"High schoolers physically active (%), 2015",Recreation & fitness facilities (2009),Recreation & fitness facilities (2014),"Recreation & fitness facilities (% change), 2009-14","Recreation & fitness facilities/1,000 pop (2009)","Recreation & fitness facilities/1,000 pop (2014)","Recreation & fitness facilities/1,000 pop (% change), 2009-14"
17103,IL,Lee,8.7,10.1,27.0,32.6,26.8,4,3,-25.0,0.110530824,0.086368216,-21.86051533
17105,IL,Livingston,9.1,9.5,27.4,29.2,26.8,4,3,-25.0,0.10242228699999999,0.079149408,-22.72247579
17107,IL,Logan,8.3,9.8,28.8,29.2,26.8,1,2,100.0,0.0329576,0.067235931,104.0072615
17109,IL,McDonough,7.5,9.3,27.9,26.8,26.8,3,3,0.0,0.091993499,0.094102886,2.292973651
17111,IL,McHenry,6.9,10.1,26.5,27.7,26.8,38,37,-2.631578947,0.123349791,0.120410176,-2.3831537430000003
17113,IL,McLean,7.3,7.0,27.8,29.3,26.8,18,20,11.11111111,0.10668120699999999,0.114902247,7.706174527999999
17115,IL,Macon,9.4,10.0,29.7,29.7,26.8,13,9,-30.76923077,0.117400571,0.083064144,-29.24724007
17117,IL,Macoupin,9.0,10.5,28.6,31.0,26.8,4,5,25.0,0.083980684,0.107635675,28.16717973
17119,IL,Madison,9.4,10.0,28.3,32.3,26.8,36,40,11.11111111,0.133839942,0.15006002400000001,12.11901427
17121,IL,Marion,9.0,10.5,27.2,33.5,26.8,5,5,0.0,0.126694539,0.12963107,2.317803531
17123,IL,Marshall,9.0,11.2,27.1,29.1,26.8,0,2,,0.0,0.166472449,
17125,IL,Mason,9.2,11.1,28.5,31.7,26.8,1,0,-100.0,0.06762697,0.0,-100.0
17127,IL,Massac,9.5,11.2,27.8,30.7,26.8,1,1,0.0,0.06478782,0.06709158,3.55585374
17129,IL,Menard,8.3,10.2,27.3,28.3,26.8,2,2,0.0,0.157232704,0.15910899,1.193317422
17131,IL,Mercer,8.9,11.4,27.4,31.2,26.8,2,2,0.0,0.121669303,0.12543117,3.091878332
17133,IL,Monroe,7.9,11.4,26.8,33.2,26.8,4,4,0.0,0.121773015,0.118616927,-2.5917798469999997
17135,IL,Montgomery,9.1,10.8,26.3,31.3,26.8,4,1,-75.0,0.132784491,0.0340611,-74.34858136
17137,IL,Morgan,8.8,11.3,27.3,28.8,26.8,4,5,25.0,0.11235323900000001,0.143147528,27.40845716
17139,IL,Moultrie,9.1,10.2,26.8,28.6,26.8,1,0,-100.0,0.06762697,0.0,-100.0
17141,IL,Ogle,8.3,10.4,27.0,31.2,26.8,5,4,-20.0,0.093247049,0.076797542,-17.6407795
17143,IL,Peoria,9.7,9.6,27.2,28.8,26.8,17,13,-23.52941177,0.09094313400000001,0.069400328,-23.68821604
17145,IL,Perry,8.7,10.6,27.8,29.1,26.8,3,1,-66.66666667,0.134084205,0.0461425,-65.58693245
17147,IL,Piatt,8.9,10.7,27.4,29.0,26.8,0,2,,0.0,0.121721137,
17149,IL,Pike,9.1,12.0,26.2,32.6,26.8,1,1,0.0,0.0607054,0.062414199999999996,2.8148795410000003
17151,IL,Pope,9.6,10.9,27.3,29.5,26.8,0,0,0.0,0.0,0.0,0.0
17153,IL,Pulaski,11.0,12.1,28.2,27.3,26.8,0,0,0.0,0.0,0.0,0.0
