Code,Store Name,Address,Store Type
CS,E Z Food Mart,"501 Hartford Ave
Providence, RI
(41.818858014000455, -71.46044145999963)",Corner Store
CS,CARLITOS MARKET INC,"35 Candace St
Providence, RI
(41.83568530800045, -71.42245158199967)",Corner Store
SP,Pacific Seafood Market,"247 Reservoir Ave
Providence, RI
(41.79003914100048, -71.42921807699963)",Specialty
CG,7-ELEVEN 29112G,"460 Smith St
Providence, RI
(41.835484402000475, -71.42633834599962)",Chain Store or Gas Station
CG,Rite Aid 10252,"711 BROAD STREET
Providence, RI
(41.8046345030005, -71.41944842199968)",Chain Store or Gas Station
CS,Mana Market LLC,"457 Manton Ave
Providence, RI
(41.8254615460005, -71.45503413299963)",Corner Store
CS,Downtown Market,"2 KENNEDY PLAZA
Providence, RI
(41.82596805300045, -71.40971812699962)",Corner Store
CS,Lupitas Market,"18 Pocasset Ave
Providence, RI
(41.813415113000474, -71.44826160099967)",Corner Store
CS,GANO MART,"149 Gano St
Providence, RI
(41.82371377600049, -71.39003657799964)",Corner Store
CG,Family Dollar 2020,"550 Hartford Ave
Providence, RI
(41.81915417500045, -71.46267052799965)",Chain Store or Gas Station
CS,Nathalie Enterprise Llc,"574 Plainfield St
Providence, RI
(41.81285661600049, -71.45774402199964)",Corner Store
CS,O G Mart,"130 Washington St
Providence, RI
(41.822886291000486, -71.41490800399964)",Corner Store
GR,SAVE-A-LOT 823,"405 Killingly St
Providence, RI
(41.82017164400048, -71.46902512099967)",Grocery
CS,V&J DELI & GROCERY,"272 Public St
Providence, RI
(41.8067102280005, -71.40979232999968)",Corner Store
CS,"TENARES SUPERMARKET, INC","484 Cranston St
Providence, RI
(41.80986936400046, -71.43318834099966)",Corner Store
CS,Gemma's Market,"458 Cranston St
Providence, RI
(41.810507836000454, -71.43253388999966)",Corner Store
CS,Rockys Market,"19 Messer St
Providence, RI
(41.815278081000486, -71.43688805599965)",Corner Store
CS,Hartford Convenience,"344 Hartford Ave
Providence, RI
(41.81782395400046, -71.45478099699966)",Corner Store
CS,Ebc Market,"465 Pine St
Providence, RI
(41.81251367300047, -71.41957027199965)",Corner Store
CS,SAMIES FOOD & SMOKE SHOP,"50 Pocasset Ave
Providence, RI
(41.81241732500047, -71.44943823599965)",Corner Store
GR,STOP & SHOP  725,"333 River St
Providence, RI
(41.84607950300045, -71.41317872799965)",Grocery
CS,EL BOMBAZO MARKET INC.,"981 Broad St
Providence, RI
(41.79783827400047, -71.41420932999966)",Corner Store
CG,The Ampak DBA Tri & Tri States Enterprises Inc,"222 Admiral St
Providence, RI
(41.84411640400049, -71.42365854699966)",Chain Store or Gas Station
CS,EAST SIDE PRESCRIPTION CENTER INC,"632 Hope St
Providence, RI
(41.84382510900048, -71.39760259499963)",Corner Store
