CENSUS TRACT,Total HH,HH above poverty level,HH below Poverty Level,HH receiving benefits,HH not receiving benefits,HH White alone ,HH Black Alone,HH American Indian alone,HH Asian alone,HH Pacific Islander alone,HH Other race alone,HH Two or more races,HH Hispanic or Latino origin (any race),Total Median Income
17031060900,4680,4381,299,164,4516,3972,310,0,221,0,122,55,717,59942
17031061000,1074,964,110,20,1054,969,15,0,47,0,13,30,108,116389
17031061100,602,579,23,0,602,564,5,0,27,0,0,6,24,107500
17031061200,781,726,55,17,764,719,7,0,22,0,18,15,56,112292
17031061500,808,756,52,5,803,735,11,0,30,0,0,32,76,125000
17031061800,697,616,81,8,689,524,41,0,61,0,28,43,74,73523
17031061901,2194,1912,282,88,2106,1678,47,0,340,0,63,66,136,60909
17031061902,2875,2566,309,131,2744,2495,51,19,208,0,20,82,83,64508
17031062000,1546,1479,67,21,1525,1327,26,0,127,0,13,53,71,80595
17031062100,1834,1510,324,118,1716,1593,89,0,106,0,10,36,177,94500
17031062200,1234,1131,103,57,1177,1095,46,0,53,0,40,0,102,119392
17031062300,698,667,31,6,692,634,0,0,47,0,6,11,19,154000
17031062400,720,681,39,71,649,632,36,0,35,0,4,13,4,127059
17031062500,712,643,69,21,691,664,6,0,42,0,0,0,30,131818
17031062600,972,953,19,0,972,787,23,0,135,0,0,27,56,158125
17031062700,1089,1047,42,51,1038,1020,8,10,30,0,7,14,50,168352
17031062800,1448,1391,57,32,1416,1241,37,0,120,0,0,50,101,143667
17031062900,1822,1693,129,15,1807,1559,105,0,78,0,8,72,62,128750
17031063000,1793,1679,114,8,1785,1443,79,0,197,12,27,35,116,99213
17031063100,1296,1199,97,19,1277,1114,21,0,78,0,8,75,105,95365
17031063200,4214,3912,302,12,4202,3896,49,0,247,0,0,22,239,65426
17031063301,1841,1490,351,186,1655,1467,146,0,99,0,25,104,135,58371
17031063302,2710,2469,241,0,2710,2400,116,0,165,0,0,29,197,78720
17031063303,907,841,66,16,891,828,3,0,71,0,0,5,22,81705
17031063400,1161,1073,88,0,1161,1030,45,0,78,0,0,8,65,97305
17031070101,2562,2185,377,69,2493,2182,20,15,206,0,26,113,117,64968
17031070102,1859,1711,148,17,1842,1626,26,0,136,14,10,47,157,70057
17031070103,1203,1066,137,0,1203,992,83,0,119,0,0,9,53,58914
17031070200,2036,1796,240,46,1990,1787,75,0,154,0,0,20,45,92441
17031070300,1629,1498,131,32,1597,1511,0,0,59,0,0,59,64,143221
17031070400,1578,1295,283,300,1278,1225,164,0,131,0,27,31,84,113409
17031070500,1317,1216,101,41,1276,1215,38,0,56,0,0,8,32,155729
17031070600,1259,1186,73,19,1240,1150,12,0,77,0,0,20,70,157125
17031070700,1700,1514,186,131,1569,1286,169,0,174,0,40,31,213,120192
17031071000,999,903,96,7,992,922,52,0,17,0,0,8,0,138934
17031071100,1086,1027,59,0,1086,978,26,0,58,0,0,24,42,119432
17031071200,978,850,128,30,948,868,31,0,57,0,0,22,146,109191
17031071300,1855,1712,143,0,1855,1591,45,0,148,0,11,60,81,112788
17031071400,2808,2410,398,123,2685,2309,97,0,177,0,23,202,310,93529
17031071500,3857,3670,187,0,3857,3313,113,0,307,0,32,92,110,94598
17031071600,739,665,74,68,671,612,77,0,40,0,0,10,50,142583
17031071700,659,639,20,11,648,538,46,0,58,0,0,17,17,162054
17031071800,1120,1048,72,87,1033,900,120,0,91,0,0,9,52,141806
17031080100,4005,3735,270,76,3929,3573,177,34,195,0,0,26,48,111372
17031080201,2213,2198,15,53,2160,1823,115,68,152,0,36,19,50,87221
17031080202,2238,1965,273,15,2223,1994,104,0,124,0,16,0,134,83806
17031080300,2840,2722,118,28,2812,2517,70,0,223,0,14,16,153,122479
17031080400,1862,1347,515,624,1238,694,1020,0,59,0,0,89,30,36927
17031081000,4381,3401,980,584,3797,2996,673,0,623,0,37,52,287,60566
17031081100,2758,2210,548,289,2469,2169,267,0,193,0,39,90,319,77267
17031081201,2901,2752,149,18,2883,2464,76,0,295,0,34,32,170,98186
17031081202,1735,1687,48,0,1735,1526,60,0,105,0,44,0,32,133079
17031081300,3411,2907,504,0,3411,2785,108,0,459,0,26,33,139,84223
17031081401,1501,1325,176,22,1479,1194,34,0,206,0,0,67,36,67313
17031081402,3157,2858,299,77,3080,2379,155,0,589,0,0,34,116,111970
17031081403,5359,4707,652,29,5330,3960,162,27,1160,0,50,0,291,121318
17031081500,3076,2690,386,54,3022,2113,106,0,706,0,76,75,226,103664
17031081600,2663,2405,258,12,2651,1914,161,0,499,0,13,76,107,116897
17031081700,2533,2352,181,74,2459,2041,94,36,300,0,0,62,187,100708
17031081800,6215,6041,174,0,6215,5442,251,0,429,0,0,93,139,128243
17031081900,411,325,86,100,311,248,118,7,25,0,13,0,11,158375
17031090100,1405,1340,65,33,1372,1280,11,0,84,0,21,9,138,95990
17031090200,2741,2633,108,26,2715,2620,54,0,67,0,0,0,124,103733
17031090300,497,465,32,8,489,473,0,0,18,0,0,6,3,97102
17031100100,2145,1954,191,238,1907,2040,0,0,90,0,15,0,236,79665
17031100200,2869,2540,329,187,2682,2649,56,0,10,0,143,11,251,74201
17031100300,2670,2520,150,79,2591,2454,0,0,109,0,82,25,193,83197
17031100400,1253,1127,126,42,1211,1215,0,0,34,0,4,0,101,93778
17031100500,2315,2119,196,174,2141,2016,14,0,86,11,112,76,308,75759
17031100600,1899,1807,92,212,1687,1671,0,0,131,0,55,42,226,75601
17031100700,1825,1741,84,33,1792,1689,0,0,62,0,65,9,247,81458
17031110100,2087,1845,242,115,1972,1874,32,0,115,0,51,15,291,79122
17031110200,1224,1123,101,194,1030,937,39,13,128,0,107,0,185,81731
17031110300,2024,1808,216,207,1817,1694,0,30,145,0,87,68,375,81014
17031110400,1847,1682,165,67,1780,1506,18,0,128,0,144,51,405,69736
17031110501,1794,1692,102,121,1673,1461,19,0,154,0,83,77,405,86512
17031110502,1539,1425,114,254,1285,1158,58,45,81,0,128,69,276,59875
17031120100,1533,1452,81,30,1503,1454,7,0,19,0,53,0,53,133622
17031120200,1778,1680,98,99,1679,1482,13,0,143,0,96,44,186,105833
17031120300,2415,2235,180,19,2396,1999,11,0,348,0,22,35,172,123818
17031120400,1256,1145,111,99,1157,973,0,0,155,0,96,32,259,78750
17031130100,1935,1560,375,358,1577,1322,25,0,544,0,0,44,109,43438
17031130200,656,633,23,37,619,525,0,0,71,0,33,27,104,79167
17031130300,1790,1518,272,297,1493,1173,77,13,367,0,105,55,346,56882
17031140100,1141,885,256,202,939,792,141,10,113,0,80,5,389,42868
17031140200,1723,1233,490,427,1296,898,118,0,393,0,276,38,662,43125
17031140301,776,587,189,144,632,368,20,11,222,0,141,14,345,46534
17031140302,1259,1115,144,153,1106,718,45,0,206,0,202,88,397,72713
17031140400,2256,2081,175,164,2092,1618,15,0,343,0,170,110,532,70682
17031140500,1297,1152,145,217,1080,818,63,0,188,0,228,0,498,62264
17031140601,922,747,175,269,653,455,65,0,202,0,188,12,410,48077
17031140602,1611,1267,344,533,1078,968,152,0,224,0,232,35,717,51982
17031140701,1066,950,116,131,935,547,61,9,175,0,194,80,418,63571
17031140702,2076,1747,329,331,1745,1457,91,3,112,0,372,41,1106,58824
17031140800,2551,2250,301,297,2254,1733,61,0,307,0,343,107,673,71366
17031150200,2901,2446,455,304,2597,2455,0,0,138,0,210,98,727,68157
17031150300,2927,2651,276,188,2739,2430,111,0,67,0,169,150,553,76545
17031150401,1838,1651,187,285,1553,1574,66,9,55,0,86,48,399,64225
17031150402,1263,1190,73,162,1101,1043,19,0,38,0,150,13,262,76017
17031150501,1417,1336,81,86,1331,1145,39,11,96,0,96,30,252,69320
17031150502,1498,1240,258,206,1292,1219,43,0,108,0,121,7,269,61967
17031150600,1394,1260,134,126,1268,974,29,29,160,0,196,6,423,67500
17031150700,1472,1218,254,128,1344,1226,0,0,70,0,156,20,527,71190
17031150800,1677,1572,105,278,1399,1140,34,7,112,0,343,41,599,56917
17031151001,903,719,184,148,755,600,34,0,53,0,176,40,459,62734
17031151002,1567,1396,171,206,1361,1152,41,0,23,14,326,11,827,55125
17031151100,1775,1522,253,277,1498,1311,21,0,74,0,339,30,763,59917
17031151200,1217,1084,133,82,1135,1050,0,0,30,0,137,0,420,64875
17031160100,993,862,131,135,858,726,15,0,153,0,24,75,181,69844
17031160200,1203,1109,94,52,1151,1039,13,0,112,0,39,0,168,82765
17031160300,1885,1693,192,112,1773,1360,103,37,209,0,67,109,290,56790
17031160400,1828,1611,217,178,1650,1344,148,0,108,0,141,87,551,56029
17031160501,1238,1057,181,285,953,803,74,0,190,0,124,47,588,56190
17031160502,1300,1123,177,182,1118,979,19,0,80,0,127,95,686,57400
17031160601,1322,1219,103,96,1226,1088,26,0,49,0,142,17,509,68902
17031160602,1442,1345,97,110,1332,1035,50,0,121,19,156,61,431,64917
17031160700,2278,2024,254,227,2051,1791,35,0,183,0,184,85,838,79671
17031160800,1837,1713,124,172,1665,1424,12,0,175,12,203,11,835,60409
17031160900,1068,989,79,52,1016,870,20,0,81,0,42,55,292,82872
17031161000,823,756,67,38,785,678,39,0,18,0,64,24,237,82740
17031161100,785,775,10,86,699,636,50,0,49,0,0,50,59,116563
17031161200,958,858,100,90,868,808,6,9,50,0,70,15,461,62250
17031161300,1450,1297,153,100,1350,1226,56,0,36,0,93,39,702,47931
17031170100,1047,919,128,93,954,924,52,0,23,0,48,0,131,53882
