CENSUS TRACT,Total HH,HH above poverty level,HH below Poverty Level,HH receiving benefits,HH not receiving benefits,HH White alone ,HH Black Alone,HH American Indian alone,HH Asian alone,HH Pacific Islander alone,HH Other race alone,HH Two or more races,HH Hispanic or Latino origin (any race),Total Median Income
17031280800,358,213,145,185,173,44,305,0,0,0,9,0,19,17143
17031280900,378,173,205,198,180,52,316,0,0,0,10,0,23,18269
17031281900,3527,2903,624,0,3527,1838,209,0,1382,0,0,98,213,102902
17031282700,769,667,102,115,654,313,284,0,103,0,54,15,197,80313
17031282800,663,542,121,71,592,280,164,16,98,0,90,15,178,54837
17031283100,1163,801,362,183,980,351,417,0,349,8,17,21,63,38798
17031283200,657,506,151,154,503,340,178,7,106,0,19,7,67,74890
17031283800,1658,1301,357,385,1273,742,647,0,233,0,24,12,190,74333
17031290900,1150,794,356,615,535,0,1150,0,0,0,0,0,0,28226
17031291200,777,419,358,457,320,14,746,0,0,0,17,0,17,23819
17031291600,300,218,82,41,259,202,35,0,10,0,53,0,224,47647
17031292200,890,487,403,522,368,54,825,0,0,0,11,0,29,32237
17031292400,609,397,212,215,394,36,573,0,0,0,0,0,5,31083
17031292500,1387,1067,320,639,748,70,1264,23,0,0,30,0,30,40131
17031300500,874,729,145,197,677,446,73,9,0,0,346,0,765,38113
17031300600,775,549,226,211,564,354,124,16,0,0,268,13,580,44492
17031300700,1293,941,352,391,902,679,15,11,8,0,570,10,1232,36224
17031300800,1103,669,434,553,550,615,0,0,0,0,488,0,1094,29949
17031300900,1278,813,465,445,833,576,27,10,0,0,637,28,1160,26833
17031301100,769,530,239,272,497,331,59,31,0,0,342,6,630,28723
17031301200,1141,817,324,512,629,494,130,34,24,0,435,24,939,27328
17031301600,1295,949,346,485,810,641,0,39,0,0,597,18,1248,35411
17031301701,1056,764,292,414,642,775,3,0,0,0,278,0,1042,29773
17031301702,1089,855,234,264,825,564,0,0,0,0,510,15,1050,39614
17031301801,1052,834,218,351,701,593,0,0,0,0,418,41,935,34427
17031301802,866,644,222,269,597,491,16,0,0,0,342,17,803,35925
17031301803,1348,995,353,459,889,807,23,0,0,0,483,35,1289,32308
17031310200,649,567,82,59,590,419,18,26,103,0,72,11,214,70428
17031310300,723,608,115,136,587,410,21,11,87,0,181,13,361,51576
17031310400,522,450,72,41,481,273,60,0,18,0,136,35,249,62614
17031310500,527,453,74,91,436,231,0,0,7,0,289,0,383,46875
17031310600,2022,1464,558,500,1522,1023,121,18,50,0,763,47,1351,35175
17031310700,523,390,133,86,437,269,43,0,13,0,178,20,346,44391
17031310800,1525,1306,219,236,1289,849,26,8,52,0,590,0,1160,52152
17031310900,1685,1294,391,283,1402,812,15,9,50,0,770,29,1362,41281
17031320100,8203,7659,544,0,8203,6528,238,131,1174,0,0,132,806,116909
17031320400,704,631,73,0,704,490,38,0,165,0,0,11,30,176000
17031320600,2829,2463,366,95,2734,1822,409,0,508,0,14,76,162,101679
17031330100,11517,10465,1052,1015,10502,6494,2752,0,1867,0,190,214,595,102303
17031330200,1859,1519,340,237,1622,772,694,9,336,0,0,48,11,77578
17031340300,699,427,272,183,516,150,7,0,503,0,31,8,45,26220
17031340400,683,531,152,114,569,157,20,0,495,0,11,0,25,45329
17031340500,852,529,323,240,612,448,23,7,339,0,35,0,54,26042
17031340600,430,172,258,243,187,0,414,0,0,0,0,16,0,12713
17031350100,1502,1140,362,64,1438,113,798,0,525,0,11,55,41,42018
17031350400,658,251,407,481,177,10,648,0,0,0,0,0,0,13587
17031351000,2267,1710,557,159,2108,123,1733,0,290,0,0,121,15,44727
17031351100,911,255,656,602,309,20,879,0,0,0,0,12,6,10455
17031351400,789,399,390,486,303,8,757,5,14,0,0,5,5,15997
17031351500,311,204,107,134,177,66,179,0,59,0,7,0,7,24063
17031360200,657,440,217,276,381,19,638,0,0,0,0,0,9,22242
17031380100,1052,597,455,521,531,16,997,11,0,0,0,28,10,17600
17031380200,1157,794,363,421,736,19,1100,0,9,0,8,21,8,23958
17031380500,330,177,153,215,115,0,326,0,4,0,0,0,0,20924
17031380700,437,335,102,159,278,14,412,0,0,0,0,11,6,41250
17031381200,958,730,228,258,700,63,895,0,0,0,0,0,0,27828
17031381400,691,552,139,203,488,7,663,0,21,0,0,0,0,33618
17031381500,176,115,61,91,85,14,162,0,0,0,0,0,11,30962
17031381700,0,0,0,0,0,0,0,0,0,0,0,0,0,-
17031381800,634,478,156,167,467,20,602,0,12,0,0,0,0,51607
17031381900,527,400,127,190,337,18,497,6,0,0,0,6,12,46750
17031390100,663,550,113,152,511,31,537,34,36,0,0,25,9,62574
17031390200,818,731,87,110,708,136,600,0,44,0,22,16,22,97786
17031390300,1516,988,528,513,1003,164,1278,0,9,0,0,65,32,22808
17031390400,1429,1049,380,428,1001,169,1220,0,11,0,0,29,0,24174
17031390500,753,578,175,84,669,215,498,0,34,0,0,6,35,49042
17031390600,794,641,153,119,675,390,340,0,26,0,0,38,13,63750
17031390700,3335,2765,570,124,3211,615,2120,0,428,0,36,136,89,59953
17031400300,612,396,216,300,312,19,561,0,13,0,0,19,26,35000
17031400400,780,616,164,304,476,18,762,0,0,0,0,0,0,35043
17031400500,762,515,247,297,465,12,735,7,0,0,0,8,12,27979
17031400800,1127,531,596,752,375,19,1036,52,0,0,0,20,9,20571
17031410100,1252,947,305,146,1106,505,562,0,72,0,38,75,123,43846
17031410200,673,498,175,54,619,331,167,10,138,0,13,14,65,40915
17031410500,1252,824,428,211,1041,470,630,0,107,0,10,35,20,51643
17031410600,1069,754,315,121,948,487,402,0,121,0,9,50,75,36734
17031410700,1030,698,332,26,1004,674,188,0,124,0,11,33,82,38852
17031410800,1761,1342,419,217,1544,648,656,39,307,0,33,78,112,42201
17031410900,1825,1528,297,120,1705,857,595,0,204,0,70,99,206,57188
17031411000,1846,1682,164,56,1790,951,735,0,56,0,29,75,90,70333
17031411100,829,747,82,6,823,640,34,0,129,0,0,26,21,111250
17031411200,718,564,154,59,659,477,80,0,140,0,2,19,33,84605
17031420100,755,475,280,383,372,28,700,0,8,0,0,19,18,19750
17031420200,606,392,214,235,371,130,414,0,48,0,7,7,14,37143
17031420300,722,547,175,154,568,132,535,0,38,0,0,17,32,39091
17031420400,711,335,376,268,443,140,459,0,92,0,5,15,38,12306
17031420500,799,630,169,243,556,0,795,0,4,0,0,0,0,37806
17031420600,933,508,425,415,518,26,864,0,0,0,12,31,30,23625
17031420700,1164,663,501,563,601,10,1095,26,0,0,33,0,22,18983
17031420800,814,556,258,377,437,32,752,0,8,0,0,22,35,34333
17031421200,480,276,204,256,224,0,462,0,0,0,14,4,14,20500
17031430101,1632,1005,627,844,788,30,1577,0,0,0,25,0,34,29750
17031430102,1891,1330,561,496,1395,34,1792,0,28,0,12,25,37,23740
17031430200,2379,1527,852,1113,1266,109,2270,0,0,0,0,0,56,22945
17031430300,931,463,468,460,471,23,901,0,7,0,0,0,7,17441
17031430400,1087,675,412,429,658,26,1049,0,0,0,0,12,0,29583
17031430500,1585,741,844,868,717,50,1512,0,0,0,0,23,13,18432
17031430600,753,577,176,231,522,45,667,0,0,0,15,26,30,30493
17031430700,1235,721,514,369,866,87,1091,45,0,0,0,12,0,19137
17031430800,686,524,162,110,576,42,624,0,0,0,20,0,14,44286
17031430900,681,455,226,192,489,0,669,0,0,0,0,12,0,41908
17031431200,1089,909,180,224,865,21,1018,0,0,0,0,50,9,49413
17031431301,1253,813,440,414,839,36,1157,0,0,0,36,24,36,21933
17031431302,1531,988,543,641,890,25,1467,0,0,0,31,8,52,31377
17031431400,3336,2330,1006,1151,2185,223,2952,0,0,0,15,146,31,28952
17031440101,1860,1186,674,935,925,23,1813,0,24,0,0,0,0,21856
17031440102,1593,1079,514,677,916,134,1409,0,0,16,24,10,36,28393
17031440201,2374,1626,748,986,1388,38,2293,0,0,0,0,43,0,26508
17031440202,1612,1200,412,425,1187,14,1588,0,10,0,0,0,41,30100
17031440300,1998,1609,389,577,1421,4,1994,0,0,0,0,0,0,53594
17031440600,741,644,97,132,609,0,741,0,0,0,0,0,0,71417
17031440700,607,534,73,161,446,38,564,0,0,0,0,5,0,37228
17031440800,705,424,281,343,362,13,679,0,13,0,0,0,0,25931
17031440900,932,689,243,472,460,0,913,12,0,0,0,7,0,30714
17031450300,1373,1197,176,293,1080,0,1323,0,0,0,0,50,0,44333
17031460100,1118,801,317,476,642,142,898,0,20,0,40,18,151,35000
17031460200,828,519,309,347,481,465,289,0,0,0,68,6,450,27976
17031460301,989,729,260,312,677,274,679,0,0,9,27,0,309,35845
17031460302,1146,835,311,493,653,75,1033,0,0,0,31,7,85,27391
17031460400,1204,983,221,364,840,56,1148,0,0,0,0,0,8,39605
17031460500,2364,2097,267,426,1938,10,2354,0,0,0,0,0,14,46162
17031460600,363,310,53,125,238,63,300,0,0,0,0,0,63,38315
17031460700,921,490,431,507,414,331,518,0,8,0,64,0,377,23972
17031461000,764,446,318,406,358,122,567,0,0,0,70,5,157,14511
17031470100,1046,766,280,359,687,11,1011,0,0,0,0,24,11,25287
17031480100,919,833,86,112,807,6,898,0,0,9,0,6,0,61495
17031480200,510,434,76,98,412,11,481,0,0,0,9,9,11,45441
17031480300,531,435,96,114,417,12,512,0,7,0,0,0,4,34107
17031480400,2188,1936,252,492,1696,45,2123,0,0,0,0,20,17,50426
17031480500,1100,907,193,310,790,131,935,0,8,0,19,7,129,40250
17031490300,882,746,136,188,694,0,865,0,0,0,6,11,3,55667
17031490400,337,312,25,52,285,0,337,0,0,0,0,0,0,51141
17031490500,719,590,129,234,485,5,686,0,0,0,0,28,5,54137
17031490600,556,467,89,215,341,6,543,0,7,0,0,0,0,39527
17031490700,895,702,193,323,572,0,895,0,0,0,0,0,4,39787
17031490800,1470,1165,305,430,1040,47,1390,0,14,0,0,19,0,40612
17031490901,1397,1074,323,532,865,0,1389,0,0,0,0,8,23,38693
17031490902,1850,1523,327,580,1270,11,1830,0,9,0,0,0,32,45273
17031491000,1112,661,451,687,425,0,1056,13,3,0,33,7,0,24727
17031491100,1386,1091,295,312,1074,0,1343,0,0,0,43,0,40,41167
17031491200,686,546,140,220,466,47,599,0,6,0,34,0,30,40167
17031491300,628,391,237,311,317,20,602,0,0,0,0,6,14,30000
17031491400,1130,767,363,615,515,22,1098,0,0,0,0,10,17,29737
17031500100,1547,1379,168,224,1323,22,1525,0,0,0,0,0,34,46517
17031500200,791,512,279,477,314,6,753,0,0,0,0,32,0,27247
17031500300,729,547,182,129,600,387,300,0,2,0,9,31,69,42263
17031510100,1016,706,310,328,688,763,157,0,0,0,96,0,710,36081
17031510200,1112,857,255,185,927,264,800,0,0,0,0,48,178,44423
17031510300,1947,1541,406,731,1216,18,1929,0,0,0,0,0,12,30069
17031520100,484,422,62,179,305,359,43,0,0,0,72,10,380,41875
17031520200,1075,785,290,447,628,832,111,9,0,0,104,19,870,38884
17031520300,1701,1275,426,468,1233,1449,45,18,0,0,143,46,1339,41860
17031520400,1303,1127,176,306,997,1145,46,0,0,0,90,22,981,44226
17031520500,1548,1379,169,181,1367,1343,46,23,0,0,118,18,894,62311
17031520600,795,675,120,101,694,741,0,0,0,0,48,6,528,44738
17031530100,759,533,226,349,410,340,349,8,0,0,62,0,404,35875
17031530200,1233,883,350,503,730,30,1194,0,0,0,0,9,0,36448
17031530300,1484,1229,255,385,1099,7,1453,10,0,0,0,14,7,47039
17031530400,737,631,106,213,524,11,720,0,6,0,0,0,0,58065
17031530501,1523,1196,327,510,1013,20,1455,0,0,0,11,37,11,44436
17031530502,518,417,101,198,320,0,518,0,0,0,0,0,0,44744
17031530503,1746,1307,439,603,1143,20,1689,0,0,0,0,37,11,39231
17031530600,950,717,233,429,521,11,909,0,0,0,0,30,5,32566
17031540101,1444,667,777,881,563,58,1379,0,7,0,0,0,58,14066
17031540102,1116,434,682,692,424,25,1080,0,0,0,0,11,11,13585
17031550100,2403,1845,558,465,1938,2071,190,0,0,0,105,37,1096,50637
17031550200,1055,972,83,65,990,935,71,0,0,0,49,0,403,53125
17031560100,342,297,45,57,285,165,29,5,41,0,102,0,226,62059
17031560200,621,519,102,143,478,119,428,0,0,0,63,11,132,48250
17031560300,952,831,121,180,772,641,19,0,48,0,185,59,494,51034
17031560400,455,394,61,46,409,336,6,3,20,0,90,0,280,55670
17031560700,1220,1098,122,150,1070,1016,0,0,0,0,204,0,538,56452
17031560800,2115,2019,96,134,1981,1775,21,16,0,0,264,39,777,70102
17031560900,1901,1854,47,48,1853,1676,0,0,0,0,178,47,526,96326
17031561000,2100,2049,51,99,2001,1923,18,0,0,0,124,35,596,99667
17031561100,1871,1759,112,206,1665,1586,6,0,0,0,247,32,617,84805
17031570100,415,356,59,59,356,263,6,8,33,0,100,5,233,55809
17031570200,610,506,104,94,516,443,0,0,54,0,103,10,351,43571
17031570300,1671,1398,273,399,1272,965,54,15,39,0,528,70,1123,44266
17031570400,528,504,24,60,468,340,0,5,10,10,163,0,406,41596
17031570500,712,624,88,72,640,445,8,0,43,0,216,0,472,40000
17031580100,806,678,128,165,641,293,44,36,204,0,196,33,486,41681
17031580200,922,710,212,292,630,421,0,0,102,0,362,37,747,43667
17031580300,701,615,86,198,503,324,17,21,80,0,247,12,545,45888
17031580400,1544,1213,331,277,1267,755,9,0,182,0,544,54,1201,41167
17031580501,1442,1102,340,360,1082,781,23,43,81,0,478,36,1141,39706
17031580502,1446,1180,266,279,1167,795,0,12,130,0,492,17,1074,40233
17031580600,1440,1234,206,237,1203,814,29,19,86,0,483,9,1169,46419
17031580700,1587,1315,272,594,993,867,43,0,96,0,500,81,1277,44986
17031580800,568,470,98,146,422,320,0,7,8,0,223,10,508,42946
17031590500,631,479,152,135,496,306,12,10,175,0,109,19,322,53295
17031590600,1178,981,197,319,859,561,10,19,109,0,352,127,692,40536
17031590700,1055,787,268,272,783,538,31,30,166,0,255,35,592,44906
17031600400,1581,1127,454,343,1238,552,57,0,813,0,149,10,233,34127
17031600600,1103,881,222,226,877,549,22,10,381,0,141,0,383,36005
17031600700,1064,882,182,211,853,628,82,28,230,0,96,0,305,35523
17031600900,1367,1242,125,139,1228,796,61,0,387,0,99,24,226,55018
17031610300,1670,1124,546,677,993,865,58,48,105,0,564,30,1381,33507
17031610400,583,371,212,183,400,294,7,5,0,0,271,6,550,35804
17031610800,540,499,41,102,438,484,0,7,9,0,8,32,99,49250
17031611000,293,148,145,152,141,74,177,0,5,0,37,0,100,19661
17031611100,753,539,214,289,464,428,143,0,0,0,164,18,570,25464
17031611200,767,547,220,304,463,375,164,5,0,0,206,17,564,28212
17031611300,853,642,211,320,533,537,94,0,0,0,222,0,696,26847
17031611400,946,719,227,243,703,603,9,70,0,0,232,32,878,32071
17031611500,937,616,321,302,635,595,122,0,0,0,209,11,747,35330
17031611600,531,400,131,232,299,198,214,0,1,0,92,26,282,32031
17031611700,554,361,193,252,302,189,248,0,0,0,88,29,292,25729
17031611800,674,511,163,348,326,148,396,0,0,0,130,0,259,34333
17031611900,555,365,190,250,305,52,441,0,0,0,51,11,95,25321
17031612000,427,349,78,225,202,28,394,0,5,0,0,0,21,30121
17031612100,354,276,78,198,156,6,331,0,0,0,11,6,17,24900
17031620100,1204,1091,113,174,1030,699,0,80,84,0,332,9,940,56339
17031620200,730,661,69,106,624,567,0,0,21,0,130,12,461,51333
17031620300,2038,1826,212,440,1598,1261,78,8,0,0,673,18,1361,54667
17031620400,1219,1060,159,211,1008,742,35,9,0,0,400,33,984,64861
17031630100,295,223,72,74,221,172,64,0,0,0,59,0,194,31750
17031630200,599,463,136,190,409,452,11,0,33,0,103,0,511,35707
17031630300,1249,1070,179,484,765,695,11,15,9,0,486,33,1137,52278
17031630400,1770,1341,429,591,1179,1085,34,0,0,0,651,0,1574,32683
17031630500,1536,1231,305,512,1024,883,25,0,0,0,628,0,1428,42434
17031630800,1713,1486,227,530,1183,673,97,0,0,0,928,15,1504,45046
17031630900,1281,1141,140,308,973,657,55,0,27,0,542,0,1100,46495
17031640100,486,421,65,74,412,394,15,6,5,0,61,5,217,44013
17031640300,2378,2250,128,181,2197,1781,16,50,0,0,417,114,1146,68397
17031640400,1207,1150,57,135,1072,990,46,0,10,0,123,38,317,68902
17031640500,1549,1462,87,209,1340,1260,28,0,34,0,185,42,566,83574
17031640600,1659,1391,268,267,1392,1272,35,0,13,0,321,18,640,44085
17031640700,1057,883,174,238,819,738,9,9,0,0,289,12,572,50625
17031640800,544,496,48,102,442,363,23,0,4,0,137,17,350,52381
17031650100,1268,1089,179,302,966,665,48,0,0,0,555,0,963,44722
17031650200,2104,1800,304,442,1662,1588,39,24,0,0,453,0,1520,48678
17031650301,1572,1486,86,233,1339,1101,10,0,25,0,389,47,1071,57875
17031650302,1074,917,157,209,865,641,32,11,0,0,383,7,876,47321
17031650400,1764,1504,260,299,1465,850,87,0,27,0,764,36,1410,48634
17031650500,1446,1270,176,160,1286,794,245,0,21,0,363,23,800,61972
17031660301,535,388,147,238,297,193,219,0,0,0,117,6,297,23976
17031660302,1482,1199,283,474,1008,591,429,0,19,0,432,11,931,32880
17031660400,1459,1219,240,494,965,711,106,0,0,0,636,6,1132,43772
17031660500,1353,1022,331,352,1001,717,158,8,0,0,463,7,1044,39137
17031660600,2076,1518,558,787,1289,497,1230,0,0,0,302,47,728,27423
17031660700,608,485,123,256,352,7,573,0,0,0,28,0,35,28125
17031660800,1663,1375,288,526,1137,328,990,0,18,0,273,54,538,36783
17031660900,1397,910,487,747,650,131,1109,0,5,0,56,96,135,28817
17031661000,1872,1324,548,590,1282,116,1696,0,0,0,35,25,130,31310
17031661100,1917,1591,326,431,1486,559,835,0,0,0,450,73,868,54425
17031670100,385,285,100,175,210,41,328,0,0,0,16,0,39,27450
17031670200,330,193,137,161,169,20,305,5,0,0,0,0,16,22143
17031670300,427,306,121,132,295,36,350,0,4,0,37,0,57,20938
17031670400,524,360,164,304,220,45,434,0,0,0,40,5,85,24667
17031670500,350,251,99,164,186,11,282,18,0,0,35,4,50,26200
17031670600,347,245,102,158,189,16,327,0,0,0,0,4,16,23021
17031670700,356,288,68,150,206,8,327,0,0,0,15,6,29,35074
17031670800,538,408,130,221,317,10,528,0,0,0,0,0,10,22219
17031670900,487,316,171,221,266,38,403,0,0,0,23,23,55,36875
17031671100,299,198,101,139,160,2,297,0,0,0,0,0,2,32426
17031671200,307,199,108,169,138,13,294,0,0,0,0,0,0,21699
17031671300,615,452,163,318,297,0,601,0,0,0,14,0,14,28466
17031671400,482,307,175,196,286,41,441,0,0,0,0,0,41,23636
17031671500,802,586,216,422,380,74,668,0,0,0,60,0,113,26822
17031671600,707,519,188,329,378,11,682,0,0,0,9,5,9,20919
17031671800,377,286,91,168,209,0,357,0,0,0,13,7,13,32163
17031671900,305,262,43,76,229,16,279,0,0,0,10,0,18,52625
17031672000,1157,891,266,418,739,20,1063,0,0,0,27,47,27,43063
17031680500,449,263,186,202,247,9,429,0,0,0,11,0,11,23675
17031680600,364,209,155,229,135,7,357,0,0,0,0,0,0,28304
17031680900,1720,962,758,905,815,10,1690,0,20,0,0,0,0,17295
17031681000,1116,536,580,606,510,12,1060,0,0,0,34,10,0,16064
17031681100,933,527,406,473,460,0,900,12,0,0,21,0,33,21266
17031681200,800,496,304,426,374,5,758,0,0,0,26,11,31,19662
17031681300,724,477,247,307,417,0,711,0,0,0,13,0,13,25927
17031681400,835,625,210,358,477,11,824,0,0,0,0,0,11,38385
17031690300,788,362,426,484,304,0,777,0,0,0,0,11,0,17310
17031690400,1371,847,524,574,797,0,1348,0,0,0,0,23,0,21106
17031690500,321,191,130,134,187,0,321,0,0,0,0,0,0,32546
17031690900,1669,1185,484,598,1071,26,1608,0,0,0,0,35,0,27554
17031691000,1109,875,234,219,890,0,1101,0,0,0,8,0,8,36806
17031691100,1071,612,459,570,501,0,1061,0,0,0,0,10,26,20469
17031691200,1081,758,323,404,677,22,1059,0,0,0,0,0,0,34657
17031691300,1066,741,325,357,709,0,1017,0,0,0,0,49,34,39853
17031691400,1266,955,311,515,751,0,1245,0,0,0,21,0,9,32935
17031691500,773,400,373,448,325,23,717,0,0,0,33,0,33,17292
17031700100,1068,911,157,235,833,157,769,0,0,0,133,9,230,62391
17031700200,1864,1692,172,231,1633,691,395,13,44,0,666,55,1082,64659
17031700301,1743,1592,151,317,1426,983,227,6,14,0,492,21,952,67765
17031700302,1759,1657,102,143,1616,994,380,0,0,0,338,47,778,68488
17031700401,1884,1566,318,456,1428,236,1248,11,30,0,303,56,425,68241
17031700402,1306,1076,230,262,1044,391,807,0,0,0,108,0,332,68935
17031700501,2416,2241,175,440,1976,106,2183,0,31,0,11,85,92,66886
17031700502,1040,949,91,42,998,93,907,0,0,0,8,32,15,95750
17031710100,489,277,212,182,307,11,467,0,0,0,6,5,17,19777
17031710200,1735,1252,483,626,1109,68,1667,0,0,0,0,0,0,28014
17031710300,539,391,148,185,354,0,461,24,0,0,21,33,26,35224
17031710400,1871,1337,534,650,1221,14,1836,0,0,0,21,0,14,35274
17031710500,1558,1187,371,484,1074,20,1476,0,9,0,22,31,43,32656
17031710600,652,464,188,239,413,4,626,0,0,0,22,0,0,32955
17031710700,1242,845,397,333,909,0,1231,0,0,0,0,11,11,19660
17031710800,1943,1444,499,615,1328,0,1881,25,37,0,0,0,0,31233
17031710900,774,512,262,316,458,15,741,0,0,0,12,6,21,30052
17031711000,1017,718,299,427,590,6,985,0,26,0,0,0,0,37628
17031711100,922,848,74,202,720,22,894,0,6,0,0,0,22,41985
17031711200,1969,1603,366,498,1471,3,1943,0,0,0,23,0,0,42596
17031711300,594,456,138,214,380,15,579,0,0,0,0,0,15,35086
17031711400,831,642,189,205,626,0,800,0,6,0,9,16,9,40777
17031711500,831,623,208,326,505,0,831,0,0,0,0,0,0,47022
17031720100,1179,1171,8,0,1179,781,363,0,9,0,26,0,77,152422
17031720200,1620,1462,158,67,1553,666,865,0,20,0,34,35,85,73300
17031720300,1354,1278,76,0,1354,847,461,0,20,0,26,0,87,122727
17031720400,671,654,17,24,647,616,29,0,3,0,23,0,38,98281
17031720500,782,752,30,4,778,747,25,0,10,0,0,0,52,119500
17031720600,611,578,33,20,591,431,169,0,5,0,0,6,6,110344
17031720700,1340,1251,89,80,1260,519,780,10,17,0,0,14,20,64656
17031730100,893,768,125,248,645,13,864,0,0,0,5,11,11,51313
17031730201,2272,1510,762,669,1603,19,2229,0,24,0,0,0,0,27500
17031730202,1127,972,155,155,972,15,1099,0,0,0,0,13,0,52046
17031730300,420,338,82,104,316,0,403,0,4,0,0,13,0,50556
17031730400,1358,1206,152,310,1048,18,1323,0,0,0,0,17,9,73077
17031730500,1517,1196,321,250,1267,8,1483,0,0,0,0,26,0,60755
17031730600,1179,945,234,238,941,13,1166,0,0,0,0,0,0,37207
17031730700,719,557,162,264,455,0,669,0,0,0,3,47,3,39893
17031740100,1153,1086,67,66,1087,1124,9,0,0,0,0,20,70,91924
17031740200,1915,1761,154,89,1826,1908,0,0,7,0,0,0,100,100361
17031740300,1807,1754,53,0,1807,1747,33,0,0,0,27,0,121,118640
17031740400,1876,1803,73,58,1818,1551,269,0,35,0,21,0,104,85798
17031750100,1384,1134,250,334,1050,9,1323,0,0,0,0,52,27,40692
17031750200,1258,1080,178,128,1130,414,831,8,0,0,5,0,45,78594
17031750300,932,894,38,33,899,821,96,0,5,0,10,0,35,93103
17031750400,1185,1105,80,28,1157,820,358,0,0,0,7,0,71,88224
17031750500,2068,1715,353,226,1842,515,1511,0,0,0,0,42,82,54896
17031750600,1257,858,399,391,866,23,1220,0,0,0,0,14,0,37159
17031760801,2128,1873,255,228,1900,1364,129,0,420,0,141,74,254,60291
17031760802,1123,1002,121,112,1011,1055,19,0,19,0,21,9,30,52188
17031760803,2818,2464,354,315,2503,2455,44,0,217,0,39,63,183,41342
17031770201,2780,2579,201,206,2574,2306,47,0,280,0,76,71,243,62853
17031770202,2135,2062,73,97,2038,1973,0,0,33,0,129,0,157,65514
17031770300,2816,2748,68,71,2745,2536,60,0,178,0,18,24,210,81938
17031770400,1792,1601,191,156,1636,1437,80,0,151,7,80,37,326,68984
17031770500,1095,796,299,225,870,950,0,10,0,0,120,15,819,42399
17031770601,1051,979,72,120,931,871,0,0,134,0,36,10,58,72946
17031770602,1556,1292,264,196,1360,1153,62,0,142,0,192,7,617,63112
17031770700,1095,998,97,73,1022,1057,13,0,9,0,16,0,120,59526
17031770800,1981,1797,184,236,1745,1857,16,0,14,0,76,18,285,58909
17031770901,2052,1857,195,110,1942,1897,10,0,145,0,0,0,99,69321
17031770902,1404,1315,89,61,1343,1280,13,0,63,0,48,0,107,60000
17031800100,875,856,19,7,868,829,0,0,46,0,0,0,0,"250,000+"
17031800200,2359,2254,105,36,2323,2238,91,0,30,0,0,0,72,194803
17031800300,1219,1178,41,23,1196,1166,0,0,26,0,11,16,21,204148
17031800400,1240,1177,63,0,1240,1159,0,0,50,0,0,31,26,"250,000+"
17031800500,1670,1610,60,0,1670,1607,0,8,45,0,0,10,35,211042
17031800600,753,705,48,7,746,704,4,0,31,0,0,14,25,214875
17031800700,1648,1622,26,0,1648,1518,8,0,115,0,0,7,61,196371
17031800800,979,913,66,14,965,865,9,0,105,0,0,0,33,93906
17031800900,1445,1413,32,45,1400,1061,20,0,364,0,0,0,44,125404
17031801000,1931,1791,140,51,1880,1601,9,0,285,0,10,26,36,113299
17031801100,1613,1585,28,19,1594,1463,0,0,124,0,0,26,18,162328
17031801200,1296,1222,74,0,1296,1237,0,0,51,0,0,8,17,194423
17031801300,1646,1540,106,100,1546,1495,21,0,130,0,0,0,20,165139
17031801400,1040,1009,31,0,1040,867,10,0,163,0,0,0,20,131944
17031801500,2410,2339,71,130,2280,2123,65,29,193,0,0,0,0,103548
17031801601,1775,1692,83,19,1756,1539,0,0,220,0,9,7,20,109886
17031801603,1579,1354,225,51,1528,1120,87,0,301,0,35,36,200,50293
17031801605,2216,2202,14,29,2187,1956,0,0,248,0,0,12,59,138992
17031801606,2506,2322,184,30,2476,2153,0,0,325,0,0,28,0,111912
17031801607,2070,1936,134,36,2034,1470,9,0,567,0,0,24,63,84022
17031801608,2887,2791,96,0,2887,2259,13,0,581,0,0,34,41,119766
17031801701,1237,1214,23,9,1228,1111,0,0,112,0,14,0,24,165972
17031801702,1691,1639,52,8,1683,1536,0,0,144,0,0,11,46,109821
17031801800,2350,2183,167,33,2317,2106,0,0,229,0,0,15,22,140789
17031801901,1828,1710,118,55,1773,1662,0,6,141,0,11,8,210,92727
17031801902,1136,1099,37,7,1129,1025,15,0,90,0,0,6,6,150862
17031802002,1644,1601,43,20,1624,1449,22,0,141,0,32,0,69,118542
17031802003,870,847,23,38,832,709,14,0,127,0,3,17,132,99881
17031802004,2109,1794,315,243,1866,1398,78,0,618,0,15,0,149,45045
17031802100,1148,1074,74,25,1123,995,0,0,117,0,0,36,19,149286
17031802200,1883,1821,62,6,1877,1800,29,0,54,0,0,0,38,113750
17031802300,2257,2045,212,61,2196,1897,15,0,344,0,0,1,72,112969
17031802402,2096,1759,337,263,1833,1490,98,0,158,25,271,54,461,60833
17031802403,834,805,29,51,783,746,3,0,63,0,0,22,10,67917
17031802404,2695,2397,298,288,2407,1718,56,41,431,19,416,14,760,59258
17031802503,2403,2108,295,236,2167,1752,0,38,478,0,75,60,158,77006
17031802504,2075,1939,136,204,1871,1526,19,8,209,8,294,11,647,85388
17031802505,2366,1978,388,554,1812,1366,140,0,479,0,364,17,681,56698
17031802506,790,729,61,72,718,530,9,8,89,0,129,25,298,83333
17031802605,2771,2660,111,138,2633,2239,0,0,479,0,12,41,57,94921
17031802607,479,474,5,5,474,455,0,0,24,0,0,0,34,112813
17031802608,3009,2767,242,110,2899,2816,24,0,124,0,32,13,72,58212
