STORE NAME,SQUARE FEET,BUFFER SIZE,ZIP CODE,COMMUNITY AREA NAME,COMMUNITY AREA,CENSUS TRACT,LATITUDE,LONGITUDE,LOCATION
EL  PASEO  BORICUA,3000.0,B,60622,WEST TOWN,24,17031242600,41.9030542001,-87.6947704208,"(41.9030542001, -87.6947704208)"
FOOD BASKET,2500.0,B,60621,ENGLEWOOD,68,17031681300,41.763181195,-87.64421502100001,"(41.763181195, -87.644215021)"
SHOP & SAVE MARKET,63426.0,A,60638,GARFIELD RIDGE,56,17031560700,41.7960196245,-87.7596833672,"(41.7960196245, -87.7596833672)"
GENES SAUSAGE SHOP AT DELI MEYER,6000.0,B,60625,LINCOLN SQUARE,4,17031040600,41.9677536575,-87.6881717161,"(41.9677536575, -87.6881717161)"
ALDI INC. #96,16117.0,A,60643,WEST PULLMAN,53,17031530300,41.6849606404,-87.64302230959998,"(41.6849606404, -87.6430223096)"
SUPER FURNITURE & FOOD MART,4000.0,B,60609,NEW CITY,61,17031611900,41.7978225881,-87.6645368783,"(41.7978225881, -87.6645368783)"
ALDI FOODS STORE #2,15600.0,A,60639,HERMOSA,20,17031190900,41.931460938200004,-87.74371730700001,"(41.9314609382, -87.743717307)"
LOS POTRILLOS,7000.0,B,60618,AVONDALE,21,17031831100,41.939309516,-87.7185399405,"(41.939309516, -87.7185399405)"
MAYFLOWER FOOD,6000.0,B,60616,ARMOUR SQUARE,34,17031841100,41.8542653039,-87.6321895068,"(41.8542653039, -87.6321895068)"
Municipal Foods,9980.0,B,60622,WEST TOWN,24,17031242500,41.9028592342,-87.6918885843,"(41.9028592342, -87.6918885843)"
SUPERMERCADO TEPECOA GUERRERO,3500.0,B,60629,WEST LAWN,65,17031650302,41.7786847162,-87.7142516633,"(41.7786847162, -87.7142516633)"
ALDI INC STORE #16,20848.0,A,60619,AVALON PARK,45,17031834300,41.736915345999996,-87.59365662180001,"(41.736915346, -87.5936566218)"
ALDI FOODS STORE #26,15540.0,A,60614,LINCOLN PARK,7,17031070700,41.9286950012,-87.67419508309999,"(41.9286950012, -87.6741950831)"
KAPS FOODS,4100.0,B,60632,BRIGHTON PARK,58,17031580100,41.8283836447,-87.69462017,"(41.8283836447, -87.69462017)"
SANABEL GROCERY & BAKERY,6200.0,B,60618,IRVING PARK,16,17031160601,41.9579834025,-87.7079959151,"(41.9579834025, -87.7079959151)"
ALLA'S FOOD,3500.0,B,60617,CALUMET HEIGHTS,48,17031480400,41.726240348699996,-87.57429226110001,"(41.7262403487, -87.5742922611)"
AL BAYAN GROCERY INC.,2500.0,B,60634,BELMONT CRAGIN,19,17031831500,41.9375646502,-87.7860543686,"(41.9375646502, -87.7860543686)"
