FIPS,State,County,"Population, low access to store (2010)","Population, low access to store (2015)","Population, low access to store (% change), 2010 -15","Population, low access to store (%), 2010","Population, low access to store (%), 2015","Low income & low access to store, 2010","Low income & low access to store, 2015",PCH_LACCESS_LOWI_10_15,PCT_LACCESS_LOWI10,PCT_LACCESS_LOWI15,LACCESS_HHNV10,LACCESS_HHNV15,PCH_LACCESS_HHNV_10_15,PCT_LACCESS_HHNV10,PCT_LACCESS_HHNV15,LACCESS_SNAP15,PCT_LACCESS_SNAP15,LACCESS_CHILD10,LACCESS_CHILD15,LACCESS_CHILD_10_15,PCT_LACCESS_CHILD10,PCT_LACCESS_CHILD15,LACCESS_SENIORS10,LACCESS_SENIORS15,PCH_LACCESS_SENIORS_10_15,PCT_LACCESS_SENIORS10,PCT_LACCESS_SENIORS15,LACCESS_WHITE15,PCT_LACCESS_WHITE15,LACCESS_BLACK15,PCT_LACCESS_BLACK15,"Hispanic ethnicity, low access to store, 2015","Hispanic ethnicity, low access to store (%), 2015","Asian, low access to store, 2015","Asian, low access to store (%), 2015","American Indian or Alaska Native, low access to store, 2015","American Indian or Alaska Native, low access to store (%), 2015","Hawaiian or Pacific Islander, low access to store, 2015","Hawaiian or Pacific Islander, low access to store (%), 2015","Multiracial, low access to store, 2015","Multiracial, low access to store (%), 2015"
17033,IL,Crawford,2926.971039,2948.453241,0.733939699,14.7700007,14.8784036,1034.204558,865.3618146,-16.32585569,5.218774579,4.366764973,153.8314237,170.02159,10.5246158,1.981597626,2.190153163,96.89852783,1.248209814,411.6205267,416.9925031,1.305079825,2.077108173,2.104216093,246.4440601,248.6563828,0.897697728,1.243599233,1.254762995,2044.96295,10.31923576,774.0674128,3.906077675,152.0947756,0.767496471,7.751815818,0.039117,5.208711348,0.026284056,0,0,116.4623394,0.587689052
17035,IL,Cumberland,91.84574619,,,0.831333691,,16.18737297,,,0.146518582,,136.804702,107.4609598,-21.44936666,3.1255358,2.455128166,,,22.88196502,,,0.207114093,,7.813761039,,,0.070725571,,,,,,,,,,,,,,,
17037,IL,DeKalb,26414.61017,29776.11913,12.72594577,25.11849579,28.31506194,12038.55053,13224.37192,9.850200713,11.44784189,12.57547729,1054.235149,1192.402044,13.10588968,2.73941157,3.098435829,1071.763212,2.784957937,5277.101696,5531.772748,4.825964453,5.018164412,5.260339243,1871.974462,2197.058668,17.36584619,1.780120257,2.089253202,24367.34539,23.17168638,2750.742283,2.615768622,2959.09071,2.81389379,824.1021534,0.783665037,56.05277224,0.05330237,7.970582619,0.007579481,1769.905895,1.683059999
17039,IL,De Witt,716.2115627,653.139208,-8.806385992,4.324687898,3.943839188,196.7663395,167.3135609,-14.968403,1.188130786,1.010286582,43.35584018,52.72085022,21.60034267,0.636556162,0.774054474,35.12996101,0.515782719,172.0229318,157.9812249,-8.162694788,1.038723095,0.953935299,96.16732005,85.70659745,-10.87762724,0.580685466,0.517520666,632.2472243,3.817687484,1.745671511,0.010540858,12.80286398,0.077307312,1.366709978,0.008252581,0,0,0,0,17.77960559,0.107358285
17041,IL,Douglas,1971.220001,1971.220001,0,9.865965972,9.865965972,560.5050709,608.8158346,8.619148374,2.805330685,3.047126299,487.6011011,440.3723877,-9.685932476,6.316076439,5.70430554,89.83333069,1.16364418,451.5632753,451.5632753,0,2.260076453,2.260076453,384.3222359,384.3222359,0,1.923534714,1.923534714,1932.570214,9.672523591,3.515376524,0.017594477,52.57016513,0.26311394,17.0615063,0.085392924,1.154239845,0.005776976,0,0,16.91867658,0.084678061
17043,IL,DuPage,250484.9532,216272.3036,-13.65856481,27.31796236,23.58672077,36314.3015,36357.63035,0.119316224,3.960448358,3.965173815,3104.513344,2644.774642,-14.80872044,0.920859884,0.784492318,4193.098648,1.243755754,61676.51614,53859.82789,-12.67368643,6.726458915,5.873968604,28933.77855,23535.01993,-18.65901686,3.155526363,2.566736167,169679.1171,18.50525421,10526.1113,1.147980781,25632.47232,2.795484939,21664.47943,2.362734472,523.3028244,0.057071559,60.91373184,0.006643269,13818.3792,1.507036483
17045,IL,Edgar,6745.106506,6684.283987,-0.90172807,36.3108662,35.98344093,2442.044938,2872.903194,17.64333855,13.14623674,15.4656718,226.6094842,293.1995708,29.38539261,2.890795819,3.740267519,531.4988234,6.780186547,1422.844754,1411.767193,-0.778550241,7.659586317,7.599952589,1396.811948,1384.054011,-0.913361086,7.519444165,7.450764489,6583.943345,35.44327813,23.85991314,0.128444838,43.48770031,0.234106914,13.31586769,0.071683181,8.204053595,0.044164802,2.122581862,0.011426474,52.83822967,0.284443528
17047,IL,Edwards,1243.358107,1243.358107,0,18.49959986,18.49959986,264.024029,532.7717268,101.7891056,3.928344428,7.926971087,62.64196603,72.77698381,16.17927791,2.205703029,2.562569852,45.55332105,1.603990178,313.9806764,313.9806764,0,4.671636311,4.671636311,200.7737812,200.7737812,0,2.987260544,2.987260544,1213.459944,18.05475293,6.950484279,0.103414437,13.05939872,0.194307376,3,0.044636215,0,0,0,0,19.9476765,0.296796258
17049,IL,Effingham,5859.604815,5870.163881,0.180200994,17.11233227,17.14316886,1414.392114,1635.126567,15.60631246,4.130576818,4.775207543,271.1069836,193.0886886,-28.77767809,2.005971022,1.428699139,230.2260859,1.703485652,1488.088974,1492.418906,0.290972687,4.345800403,4.358445495,961.7539063,962.3157145,0.058414964,2.808696648,2.810337347,5761.789029,16.82667201,14.57198554,0.042555883,79.83818502,0.23315865,33.06283957,0.096556391,2.173723203,0.00634812,0,0,58.5662827,0.171036396
17051,IL,Fayette,7108.086061,7659.778417,7.761475462,32.10517643,34.59701182,2801.996612,3109.951514,10.99055226,12.65581126,14.04675481,236.6702869,339.2959897,43.36230969,2.847675213,4.082492957,499.0621016,6.004838185,1728.808413,1846.042614,6.781214125,7.808529419,8.338042519,1196.256038,1273.719658,6.47550503,5.403143805,5.753024654,7504.126517,33.89397704,26.46171535,0.119519943,72.43809745,0.327182012,22.66793853,0.102384546,17.90175915,0.080857087,3,0.013550136,85.62048612,0.386723063
17053,IL,Ford,2583.177029,2589.900699,0.260286866,18.34512484,18.39287479,662.9236134,918.3444929,38.52945866,4.70792993,6.521869845,102.9838795,93.68537462,-9.029087738,1.814374198,1.650552759,122.4800215,2.157858024,625.5951851,627.6663587,0.331072495,4.442832079,4.457541074,461.524535,462.9053174,0.299178552,3.277640331,3.287446328,2522.061266,17.91109485,10.95802861,0.077821381,45.8472845,0.325596794,5.819527163,0.041328934,13.4363302,0.095421704,0,0,37.62554984,0.267207939
17055,IL,Franklin,4415.063247,4242.045168,-3.918813163,11.16014066,10.7227956,1901.79291,1720.279134,-9.54435023,4.807241753,4.348421764,559.9362085,565.5161298,0.99652803,3.369658834,3.403238429,308.3067373,1.855369425,983.858872,953.4057185,-3.095276603,2.486941361,2.409963647,854.6425296,816.8978787,-4.416425538,2.16031579,2.064907052,4172.634324,10.5473429,11.48955592,0.029042633,49.97535532,0.126324803,7.439156815,0.018804269,11.37180786,0.028744996,0,0,39.11032654,0.098860814
