CENSUS TRACT,Total At/Above poverty level,Total Below poverty level,At/Above poverty level receiving benefits,At/Above not receiving benefits,Below poverty level receiving,Below Poverty Level not receiving
17031803610,2893,300,110,2783,37,263
17031803611,1871,166,91,1780,130,36
17031803612,956,272,114,842,112,160
17031803701,1275,103,33,1242,63,40
17031803702,2513,98,55,2458,38,60
17031803800,1657,105,61,1596,18,87
17031803901,1642,119,33,1609,32,87
17031803902,1213,62,16,1197,0,62
17031804000,1793,77,46,1747,14,63
17031804102,2498,32,18,2480,0,32
17031804104,1715,60,28,1687,13,47
17031804105,1211,44,0,1211,0,44
17031804106,2637,106,63,2574,14,92
17031804108,1814,86,88,1726,33,53
17031804109,1042,38,17,1025,18,20
17031804201,2602,186,46,2556,23,163
17031804202,2432,162,95,2337,141,21
17031804305,2294,110,229,2065,13,97
17031804306,1574,121,201,1373,40,81
17031804308,2312,124,130,2182,58,66
17031804309,893,47,58,835,28,19
17031804310,3019,118,128,2891,43,75
17031804311,2517,156,116,2401,27,129
17031804403,2145,285,66,2079,76,209
17031804404,1423,111,92,1331,42,69
17031804405,949,122,167,782,37,85
17031804406,1862,140,111,1751,113,27
17031804505,1226,170,61,1165,47,123
17031804506,1691,24,63,1628,17,7
17031804507,4008,196,115,3893,21,175
17031804508,598,137,63,535,105,32
17031804509,1542,79,175,1367,14,65
17031804510,1234,257,180,1054,92,165
17031804511,626,129,77,549,34,95
17031804603,2507,144,161,2346,59,85
17031804606,2437,63,43,2394,14,49
17031804607,2280,116,75,2205,82,34
17031804608,1296,128,41,1255,31,97
17031804609,2204,84,34,2170,0,84
17031804610,1069,77,26,1043,31,46
17031804611,1753,51,47,1706,10,41
17031804701,2253,222,92,2161,74,148
17031804705,1443,126,70,1373,44,82
17031804706,761,10,49,712,0,10
17031804709,2260,176,138,2122,46,130
17031804710,1455,54,85,1370,9,45
17031804711,2695,242,164,2531,73,169
17031804712,1747,68,66,1681,0,68
17031804713,1864,199,158,1706,13,186
17031804714,1176,76,42,1134,40,36
17031804715,947,109,160,787,58,51
17031804716,1533,66,82,1451,66,0
17031804803,2045,28,180,1865,0,28
17031804804,2297,205,56,2241,126,79
17031804805,2342,78,56,2286,10,68
17031804806,1031,70,52,979,13,57
17031804807,1636,103,92,1544,35,68
17031804808,789,29,12,777,4,25
17031804809,1336,98,5,1331,15,83
17031804810,2209,248,96,2113,98,150
17031804901,2413,55,27,2386,11,44
17031804902,1696,162,48,1648,25,137
17031805001,1719,62,35,1684,17,45
17031805002,2574,258,452,2122,70,188
17031805105,2280,259,210,2070,53,206
17031805106,1059,144,38,1021,18,126
17031805107,2605,252,306,2299,68,184
17031805108,2299,159,117,2182,37,122
17031805109,1460,198,72,1388,135,63
17031805110,1775,163,59,1716,47,116
17031805111,2520,268,439,2081,59,209
17031805112,1163,122,110,1053,15,107
17031805201,1136,28,21,1115,20,8
17031805202,1468,144,40,1428,29,115
17031805301,1001,118,79,922,59,59
17031805302,1190,85,97,1093,16,69
17031805401,1193,164,73,1120,26,138
17031805402,1641,149,29,1612,9,140
17031805501,1403,89,36,1367,0,89
17031805502,1462,79,7,1455,0,79
17031805600,1460,36,13,1447,0,36
17031805701,1886,65,7,1879,0,65
17031805702,689,14,25,664,10,4
17031805801,945,44,16,929,21,23
17031805802,1808,73,0,1808,23,50
17031805901,1703,110,43,1660,20,90
17031805902,1958,111,12,1946,61,50
17031806001,2031,299,151,1880,105,194
17031806002,2157,475,165,1992,245,230
17031806003,2578,303,303,2275,26,277
17031806004,2308,395,158,2150,202,193
17031806102,1238,141,83,1155,93,48
17031806103,1719,49,63,1656,22,27
17031806104,1459,293,327,1132,227,66
17031806201,2081,220,165,1916,35,185
17031806202,2117,348,87,2030,152,196
17031806300,1572,115,4,1568,37,78
17031806400,705,140,20,685,48,92
17031806501,633,93,90,543,19,74
17031806502,1368,95,84,1284,0,95
17031806600,1214,76,85,1129,14,62
17031806700,1434,36,46,1388,7,29
17031806801,1212,201,100,1112,25,176
17031806802,1043,40,64,979,0,40
17031806900,1975,242,279,1696,80,162
17031807000,1764,243,145,1619,68,175
17031807100,1146,40,16,1130,14,26
17031807200,1690,102,129,1561,30,72
17031807300,2388,432,232,2156,114,318
17031807400,1883,275,215,1668,53,222
17031807500,1066,11,27,1039,11,0
17031807600,1813,166,175,1638,16,150
17031807700,1757,382,130,1627,149,233
17031807800,799,30,47,752,3,27
17031807900,1247,99,10,1237,7,92
17031808001,1138,89,40,1098,13,76
17031808002,1547,140,86,1461,13,127
17031808100,1469,170,35,1434,36,134
17031808200,1687,154,169,1518,48,106
17031808301,2128,220,101,2027,18,202
17031808302,1401,67,81,1320,25,42
17031808400,1401,44,75,1326,0,44
17031808500,1215,92,39,1176,0,92
17031808600,685,18,8,677,13,5
17031808702,330,71,4,326,0,71
17031808800,1286,103,0,1286,0,103
17031808900,1547,77,6,1541,6,71
17031809000,1456,56,8,1448,0,56
17031809100,1338,67,4,1334,10,57
17031809200,1077,423,130,947,192,231
17031809300,974,682,59,915,26,656
17031809400,2069,557,0,2069,16,541
17031809500,1557,374,16,1541,50,324
17031809600,909,135,90,819,50,85
17031809700,1096,67,41,1055,31,36
17031809800,867,167,8,859,43,124
17031809900,1288,35,19,1269,0,35
17031810000,2474,238,0,2474,47,191
17031810100,1857,172,87,1770,94,78
17031810200,2389,175,225,2164,99,76
17031810301,1308,167,93,1215,46,121
17031810302,1059,77,50,1009,10,67
17031810400,1880,115,19,1861,16,99
17031810501,1714,130,57,1657,24,106
17031810502,1706,157,151,1555,48,109
17031810600,1590,257,54,1536,24,233
17031810701,1503,351,182,1321,116,235
17031810702,1260,214,201,1059,126,88
17031810800,1602,98,91,1511,34,64
17031810900,2385,177,208,2177,0,177
17031811000,1510,132,27,1483,0,132
17031811100,2173,298,209,1964,69,229
17031811200,1589,171,167,1422,39,132
17031811301,1273,164,171,1102,29,135
17031811302,810,276,103,707,143,133
17031811401,1582,159,157,1425,86,73
17031811402,1359,118,61,1298,28,90
17031811500,1892,135,104,1788,17,118
17031811600,1914,396,134,1780,109,287
17031811701,987,216,195,792,61,155
17031811702,1375,255,71,1304,132,123
17031811800,1324,164,177,1147,66,98
17031811900,1774,97,10,1764,36,61
17031812000,2033,61,20,2013,0,61
17031812100,1441,94,47,1394,9,85
17031812200,1256,40,11,1245,23,17
17031812301,2147,188,30,2117,18,170
17031812302,885,92,30,855,12,80
17031812400,1071,28,0,1071,9,19
17031812500,1274,276,71,1203,128,148
17031812600,1481,278,14,1467,55,223
17031812700,1394,152,91,1303,97,55
17031812801,1473,318,87,1386,196,122
17031812802,1169,124,85,1084,26,98
17031812900,1599,128,75,1524,47,81
17031813000,1316,98,52,1264,11,87
17031813100,1668,142,49,1619,46,96
17031813200,1471,81,94,1377,39,42
17031813301,660,204,131,529,148,56
17031813302,687,190,117,570,95,95
17031813400,1476,417,253,1223,190,227
17031813500,1594,256,238,1356,168,88
17031813600,1140,301,243,897,121,180
17031813701,746,225,143,603,191,34
17031813702,816,257,134,682,110,147
17031813801,659,95,118,541,31,64
17031813802,1190,223,257,933,148,75
17031813900,1246,324,244,1002,198,126
17031814000,1148,195,195,953,107,88
17031814100,1022,213,161,861,108,105
17031814200,1597,312,335,1262,191,121
17031814300,1036,273,243,793,138,135
17031814400,1858,417,308,1550,270,147
17031814500,1382,67,164,1218,38,29
17031814600,1380,293,142,1238,188,105
17031814700,1410,177,187,1223,115,62
17031814800,1888,143,184,1704,75,68
17031814900,1916,415,450,1466,128,287
17031815000,1131,136,196,935,73,63
17031815100,1175,142,154,1021,125,17
17031815200,1872,313,179,1693,187,126
17031815300,1164,102,128,1036,61,41
17031815400,1786,232,134,1652,116,116
17031815500,2276,274,252,2024,13,261
17031815600,1737,180,259,1478,77,103
17031815701,1254,41,27,1227,6,35
17031815702,1758,152,61,1697,80,72
17031815800,466,89,10,456,18,71
17031815900,2501,399,208,2293,220,179
17031816000,1435,169,45,1390,42,127
17031816100,2376,235,228,2148,69,166
17031816200,1280,270,39,1241,88,182
17031816300,1457,145,163,1294,82,63
17031816401,1156,206,183,973,132,74
17031816402,1039,123,113,926,12,111
17031816500,1017,304,158,859,176,128
17031816600,987,202,246,741,115,87
17031816700,656,153,78,578,80,73
17031816800,1707,163,199,1508,32,131
17031816900,1563,187,305,1258,100,87
17031817000,1533,173,181,1352,75,98
17031817101,1418,302,284,1134,147,155
17031817102,911,153,140,771,65,88
17031817200,1351,229,371,980,161,68
17031817300,475,339,56,419,205,134
17031817400,923,192,167,756,155,37
17031817500,938,352,289,649,267,85
17031817600,1108,128,350,758,55,73
17031817700,1462,193,329,1133,78,115
17031817900,2107,325,495,1612,122,203
17031818000,1340,194,124,1216,130,64
17031818100,802,45,32,770,8,37
17031818200,1532,157,107,1425,82,75
17031818300,1875,136,259,1616,104,32
17031818401,1231,90,53,1178,32,58
17031818402,1267,119,28,1239,0,119
17031818500,2262,150,39,2223,14,136
17031818600,1764,131,142,1622,78,53
17031818700,1219,118,47,1172,61,57
17031818800,2065,43,68,1997,15,28
17031818900,1726,94,55,1671,6,88
17031819000,1464,87,11,1453,0,87
17031819100,1571,155,147,1424,71,84
17031819200,1850,284,98,1752,108,176
17031819300,954,61,18,936,19,42
17031819400,1724,236,259,1465,93,143
17031819500,1214,107,95,1119,7,100
17031819600,1209,24,8,1201,0,24
17031819700,1783,61,43,1740,0,61
17031819801,1680,37,32,1648,0,37
17031819802,893,66,0,893,6,60
17031819900,1113,20,0,1113,0,20
17031820000,667,13,13,654,0,13
17031820101,2731,120,127,2604,0,120
17031820103,1360,83,83,1277,12,71
17031820104,1433,197,103,1330,93,104
17031820201,3109,53,110,2999,13,40
17031820202,1096,133,128,968,108,25
17031820300,1415,209,180,1235,132,77
17031820400,1296,348,246,1050,170,178
17031820501,1992,89,81,1911,0,89
17031820502,1491,234,158,1333,152,82
17031820603,1663,254,319,1344,167,87
17031820604,1209,316,173,1036,182,134
17031820605,1384,324,348,1036,138,186
17031820606,1345,129,11,1334,37,92
17031820700,2122,138,356,1766,123,15
17031820800,1051,90,132,919,64,26
17031820901,1612,216,196,1416,106,110
17031820902,1372,133,127,1245,46,87
17031821001,1499,132,179,1320,58,74
17031821002,1627,158,176,1451,83,75
17031821101,1251,201,203,1048,55,146
17031821102,1163,156,152,1011,104,52
17031821200,1856,346,337,1519,223,123
17031821300,1656,366,257,1399,253,113
17031821401,1245,284,266,979,89,195
17031821402,1266,182,75,1191,83,99
17031821500,439,225,105,334,152,73
17031821600,1407,184,134,1273,94,90
17031821700,1652,48,51,1601,0,48
17031821800,1768,166,70,1698,51,115
17031821900,1665,108,80,1585,21,87
17031822000,1585,133,134,1451,38,95
17031822101,1510,107,71,1439,41,66
17031822102,1625,294,88,1537,44,250
17031822200,1221,44,34,1187,9,35
17031822301,1024,198,54,970,69,129
17031822302,1326,205,171,1155,59,146
17031822400,1616,448,137,1479,188,260
17031822500,1455,120,106,1349,53,67
17031822601,1642,52,115,1527,19,33
17031822602,2516,237,214,2302,116,121
17031822701,1880,137,280,1600,30,107
17031822702,1287,157,76,1211,53,104
17031822801,1275,206,8,1267,30,176
17031822802,1154,89,64,1090,45,44
17031822900,641,33,53,588,27,6
17031823001,1988,441,365,1623,210,231
17031823002,1881,302,4,1877,208,94
17031823101,1444,231,207,1237,122,109
17031823102,1147,82,121,1026,36,46
17031823200,1563,160,95,1468,18,142
17031823302,2106,247,202,1904,77,170
17031823303,1313,245,92,1221,55,190
17031823304,2102,286,186,1916,161,125
17031823400,1453,310,225,1228,127,183
17031823500,1422,175,204,1218,119,56
17031823602,2530,312,148,2382,159,153
17031823603,445,169,64,381,88,81
17031823604,1311,53,41,1270,0,53
17031823605,1371,172,40,1331,22,150
17031823702,2069,321,99,1970,89,232
17031823703,2260,621,175,2085,335,286
17031823704,1298,23,33,1265,14,9
17031823705,1437,261,118,1319,74,187
17031823801,2139,137,21,2118,0,137
17031823803,2099,190,166,1933,96,94
17031823805,1260,133,33,1227,23,110
17031823806,1315,227,98,1217,120,107
17031823901,1439,54,59,1380,0,54
17031823903,1524,109,33,1491,34,75
17031823904,1577,43,0,1577,0,43
17031824003,1935,142,12,1923,0,142
17031824004,1937,178,139,1798,66,112
17031824005,1889,118,35,1854,63,55
17031824006,1421,76,0,1421,22,54
17031824105,2248,114,109,2139,32,82
17031824106,2501,112,121,2380,64,48
17031824107,2498,105,64,2434,0,105
17031824108,2349,264,16,2333,171,93
17031824113,2238,115,149,2089,16,99
17031824114,1805,82,9,1796,0,82
17031824115,1321,103,113,1208,13,90
17031824116,1968,212,186,1782,136,76
17031824117,3264,121,129,3135,14,107
17031824119,2001,92,33,1968,0,92
17031824120,3306,144,31,3275,29,115
17031824121,1140,102,60,1080,21,81
17031824122,2162,160,0,2162,43,117
17031824123,2509,323,127,2382,23,300
17031824300,1011,609,315,696,368,241
17031824400,662,143,45,617,40,103
17031824503,2734,172,193,2541,56,116
17031824505,2294,187,98,2196,42,145
17031824506,3169,60,14,3155,13,47
17031824507,1510,232,66,1444,123,109
17031824601,1591,108,156,1435,0,108
17031824602,2148,241,51,2097,153,88
17031824701,1258,138,76,1182,89,49
17031824702,1663,357,166,1497,174,183
17031824800,1794,493,261,1533,219,274
17031824900,883,225,236,647,157,68
17031825000,1719,226,117,1602,120,106
17031825200,673,14,24,649,10,4
17031825302,2204,130,180,2024,13,117
17031825303,1379,138,90,1289,14,124
17031825304,1522,119,28,1494,60,59
17031825400,2016,203,24,1992,89,114
17031825501,1756,241,259,1497,79,162
17031825503,2243,381,94,2149,177,204
17031825504,1377,58,253,1124,30,28
17031825505,1610,271,155,1455,64,207
17031825600,1366,297,394,972,151,146
17031825700,1103,354,147,956,196,158
17031825801,1058,283,178,880,154,129
17031825802,2013,193,552,1461,131,62
17031825803,2046,395,512,1534,209,186
17031825900,971,191,132,839,164,27
17031826000,736,132,180,556,60,72
17031826100,1790,361,599,1191,208,153
17031826201,1541,309,140,1401,140,169
17031826202,1403,568,256,1147,292,276
17031826301,1182,242,157,1025,88,154
17031826303,1180,176,157,1023,54,122
17031826304,841,339,133,708,178,161
17031826401,1167,211,238,929,97,114
17031826402,1333,267,262,1071,182,85
17031826500,1423,590,305,1118,382,208
17031826600,1615,551,339,1276,329,222
17031826700,1476,607,386,1090,315,292
17031826800,1221,464,219,1002,192,272
17031826901,439,228,179,260,120,108
17031826902,359,203,115,244,77,126
17031827000,963,377,179,784,165,212
17031827100,693,368,169,524,232,136
17031827200,1058,368,276,782,196,172
17031827300,605,362,168,437,227,135
17031827400,1089,602,301,788,369,233
17031827500,1287,412,245,1042,217,195
17031827600,945,249,96,849,208,41
17031827700,676,242,98,578,165,77
17031827801,1320,216,255,1065,105,111
17031827802,909,111,51,858,0,111
17031827804,1045,121,67,978,17,104
17031827805,966,57,85,881,8,49
17031827901,757,81,68,689,30,51
17031827902,1464,353,187,1277,254,99
17031828000,1578,354,147,1431,217,137
17031828100,1629,279,87,1542,152,127
17031828201,1554,116,230,1324,11,105
17031828202,1644,179,149,1495,105,74
17031828300,1206,180,43,1163,39,141
17031828401,1377,123,48,1329,26,97
17031828402,1694,97,265,1429,13,84
17031828503,1149,284,277,872,156,128
17031828504,1533,407,257,1276,212,195
17031828505,2338,281,182,2156,106,175
17031828506,2811,399,456,2355,136,263
17031828601,1448,89,30,1418,44,45
17031828602,1407,79,78,1329,31,48
17031828701,1184,154,90,1094,23,131
17031828702,1471,253,215,1256,82,171
17031828801,1705,122,79,1626,23,99
17031828802,1180,27,105,1075,1,26
17031828900,742,410,70,672,251,159
17031829000,225,222,84,141,171,51
17031829100,746,450,197,549,288,162
17031829200,1617,273,142,1475,75,198
17031829301,1210,260,93,1117,92,168
17031829302,686,476,105,581,193,283
17031829401,305,138,82,223,77,61
17031829402,1251,189,189,1062,116,73
17031829500,1055,426,55,1000,205,221
17031829600,1000,213,102,898,71,142
17031829700,1087,402,300,787,276,126
17031829800,2373,112,62,2311,34,78
17031829901,3104,286,224,2880,59,227
17031829902,2261,260,173,2088,163,97
17031830001,1009,127,118,891,21,106
17031830003,2689,201,165,2524,39,162
17031830004,2144,243,218,1926,29,214
17031830005,1668,44,33,1635,0,44
17031830006,995,182,117,878,89,93
17031830007,1304,388,215,1089,256,132
17031830008,1366,67,157,1209,23,44
17031830100,928,72,174,754,21,51
17031830201,1770,486,204,1566,189,297
17031830202,978,89,95,883,55,34
17031830300,1695,454,175,1520,239,215
17031830400,1315,266,202,1113,165,101
17031830500,805,298,90,715,178,120
17031830600,1566,340,197,1369,208,132
17031830700,1423,326,73,1350,239,87
17031830800,1320,88,19,1301,19,69
17031830900,1235,45,73,1162,10,35
17031831000,1056,15,0,1056,0,15
17031831100,2503,177,91,2412,16,161
17031831200,1098,298,131,967,129,169
17031831300,294,71,79,215,53,18
17031831400,768,213,175,593,118,95
17031831500,1026,161,90,936,86,75
17031831600,2080,257,406,1674,144,113
17031831700,626,138,100,526,70,68
17031831800,1768,408,223,1545,196,212
17031831900,1281,65,0,1281,0,65
17031832000,729,93,10,719,0,93
17031832100,1644,182,24,1620,56,126
17031832200,1407,71,0,1407,9,62
17031832300,839,52,13,826,4,48
17031832400,1133,58,29,1104,17,41
17031832500,1235,173,50,1185,111,62
17031832600,1586,85,9,1577,0,85
17031832900,543,332,0,543,34,298
17031833000,1981,396,24,1957,154,242
17031833100,3296,423,99,3197,198,225
17031833300,616,332,5,611,56,276
17031833900,521,273,140,381,213,60
17031834000,756,360,251,505,186,174
17031834200,1273,361,454,819,264,97
17031834300,1930,602,173,1757,387,215
17031834400,1286,340,374,912,259,81
17031834500,331,162,119,212,141,21
17031834600,665,235,159,506,173,62
17031834700,324,217,104,220,176,41
17031834800,394,325,89,305,223,102
17031834900,414,312,126,288,243,69
17031835000,1290,639,392,898,445,194
17031835100,1055,302,336,719,136,166
17031835200,635,41,97,538,27,14
17031835500,415,289,154,261,264,25
17031835600,299,67,91,208,38,29
17031835700,108,46,48,60,0,46
17031835800,472,178,79,393,161,17
17031835900,838,642,181,657,484,158
17031836000,702,236,164,538,168,68
17031836100,506,258,213,293,209,49
17031836200,103,23,0,103,0,23
17031836300,509,153,32,477,67,86
17031836400,1160,614,249,911,388,226
17031836500,513,152,162,351,145,7
17031836600,724,180,159,565,163,17
17031836700,539,345,160,379,215,130
17031836800,311,515,111,200,403,112
17031836900,267,182,89,178,112,70
17031837000,412,342,94,318,321,21
17031837100,509,227,38,471,145,82
17031837300,545,203,136,409,139,64
17031837400,479,223,133,346,201,22
17031837800,705,244,96,609,129,115
17031838000,767,452,166,601,301,151
17031838100,620,511,115,505,329,182
17031838200,287,100,26,261,5,95
17031838300,548,118,59,489,46,72
17031838600,296,260,89,207,203,57
17031838700,865,685,436,429,445,240
17031838800,661,470,114,547,381,89
17031839000,4176,613,53,4123,142,471
17031839100,3320,350,52,3268,15,335
17031839200,1097,278,119,978,101,177
17031839500,420,275,76,344,167,108
17031839600,659,100,101,558,75,25
17031839700,1498,331,111,1387,172,159
17031839800,999,191,31,968,41,150
17031839900,1541,289,101,1440,185,104
17031840000,898,112,105,793,75,37
17031840100,899,169,132,767,60,109
17031840200,705,131,102,603,48,83
17031840300,962,249,160,802,96,153
17031840400,868,300,10,858,145,155
17031840700,837,245,118,719,154,91
17031840800,577,242,146,431,166,76
17031841000,459,107,21,438,61,46
17031841100,1884,903,404,1480,598,305
17031841200,1431,279,255,1176,186,93
17031841300,1153,346,87,1066,98,248
17031841400,285,129,46,239,69,60
17031841500,625,321,198,427,211,110
17031841600,141,93,40,101,42,51
17031841700,452,256,143,309,179,77
17031841800,687,203,221,466,130,73
17031841900,1544,55,11,1533,0,55
17031842000,309,49,20,289,9,40
17031842100,1534,594,502,1032,388,206
17031842200,1724,199,169,1555,96,103
17031842300,1420,24,31,1389,10,14
17031842400,967,283,192,775,145,138
17031842500,319,506,159,160,426,80
17031842600,1225,207,180,1045,39,168
17031842800,1350,686,182,1168,353,333
17031842900,726,422,200,526,271,151
17031843000,500,427,256,244,330,97
17031843100,290,215,99,191,103,112
17031843200,705,169,71,634,91,78
17031843300,309,133,98,211,80,53
17031843400,385,122,79,306,97,25
17031843500,205,90,42,163,31,59
17031843600,1033,320,256,777,223,97
17031843700,910,75,32,878,45,30
17031843800,509,115,104,405,95,20
17031843900,1536,442,228,1308,257,185
17031980000,0,0,0,0,0,0
17031980100,0,0,0,0,0,0
17031990000,0,0,0,0,0,0
