CENSUS TRACT,Total At/Above poverty level,Total Below poverty level,At/Above poverty level receiving benefits,At/Above not receiving benefits,Below poverty level receiving,Below Poverty Level not receiving
17031140301,587,189,81,506,63,126
17031140302,1115,144,120,995,33,111
17031140400,2081,175,114,1967,50,125
17031140500,1152,145,176,976,41,104
17031140601,747,175,150,597,119,56
17031140602,1267,344,311,956,222,122
17031140701,950,116,90,860,41,75
17031140702,1747,329,121,1626,210,119
17031140800,2250,301,144,2106,153,148
17031150200,2446,455,185,2261,119,336
17031150300,2651,276,122,2529,66,210
17031150401,1651,187,204,1447,81,106
17031150402,1190,73,162,1028,0,73
17031150501,1336,81,39,1297,47,34
17031150502,1240,258,141,1099,65,193
17031150600,1260,134,71,1189,55,79
17031150700,1218,254,54,1164,74,180
17031150800,1572,105,251,1321,27,78
17031151001,719,184,76,643,72,112
17031151002,1396,171,159,1237,47,124
17031151100,1522,253,172,1350,105,148
17031151200,1084,133,51,1033,31,102
17031160100,862,131,68,794,67,64
17031160200,1109,94,47,1062,5,89
17031160300,1693,192,49,1644,63,129
17031160400,1611,217,106,1505,72,145
17031160501,1057,181,179,878,106,75
17031160502,1123,177,108,1015,74,103
17031160601,1219,103,55,1164,41,62
17031160602,1345,97,92,1253,18,79
17031160700,2024,254,115,1909,112,142
17031160800,1713,124,111,1602,61,63
17031160900,989,79,30,959,22,57
17031161000,756,67,23,733,15,52
17031161100,775,10,81,694,5,5
17031161200,858,100,69,789,21,79
17031161300,1297,153,65,1232,35,118
17031170100,919,128,56,863,37,91
17031170200,1155,46,89,1066,38,8
17031170300,1613,218,176,1437,25,193
17031170400,1346,161,43,1303,26,135
17031170500,1905,99,73,1832,20,79
17031170600,910,66,21,889,39,27
17031170700,1008,141,30,978,16,125
17031170800,1327,111,152,1175,13,98
17031170900,579,81,66,513,6,75
17031171000,2404,184,250,2154,29,155
17031171100,1158,124,42,1116,40,84
17031180100,1803,437,86,1717,65,372
17031190100,654,175,72,582,108,67
17031190200,1377,206,183,1194,74,132
17031190300,1462,284,138,1324,162,122
17031190401,1038,187,118,920,30,157
17031190402,1518,178,163,1355,8,170
17031190601,1037,179,44,993,54,125
17031190602,1286,136,208,1078,62,74
17031190701,623,160,146,477,86,74
17031190702,1076,372,212,864,207,165
17031190800,1639,369,381,1258,190,179
17031190900,513,201,96,417,133,68
17031191000,559,164,78,481,111,53
17031191100,1683,348,333,1350,190,158
17031191200,831,194,118,713,85,109
17031191301,1224,249,250,974,156,93
17031191302,1220,166,183,1037,89,77
17031200100,1151,170,110,1041,17,153
17031200200,1309,329,211,1098,168,161
17031200300,380,156,89,291,150,6
17031200401,839,179,243,596,77,102
17031200402,838,269,176,662,118,151
17031210100,1230,189,52,1178,32,157
17031210400,814,165,72,742,68,97
17031210501,990,262,106,884,176,86
17031210502,1082,352,103,979,138,214
17031210601,798,117,58,740,26,91
17031210602,1327,217,165,1162,134,83
17031210700,1284,252,169,1115,151,101
17031210800,371,13,20,351,0,13
17031210900,1090,155,47,1043,84,71
17031220300,816,75,15,801,9,66
17031220400,1018,72,30,988,36,36
17031220500,1106,88,42,1064,15,73
17031220601,601,89,71,530,21,68
17031220602,2041,419,211,1830,174,245
17031220701,948,120,96,852,50,70
17031220702,1209,158,116,1093,45,113
17031220901,726,258,112,614,148,110
17031220902,822,124,115,707,48,76
17031221000,818,195,90,728,63,132
17031221100,1541,390,109,1432,96,294
17031221200,1158,68,96,1062,34,34
17031221300,1094,221,83,1011,52,169
17031221400,1258,89,51,1207,25,64
17031221500,1166,159,56,1110,115,44
17031221600,1323,90,0,1323,12,78
17031222200,862,38,24,838,5,33
17031222500,402,125,27,375,63,62
17031222600,637,57,30,607,17,40
17031222700,699,131,42,657,92,39
17031222800,294,71,16,278,57,14
17031222900,299,32,52,247,32,0
17031230100,493,131,54,439,63,68
17031230200,455,156,32,423,82,74
17031230300,231,62,61,170,54,8
17031230400,511,156,80,431,84,72
17031230500,757,395,190,567,283,112
17031230600,1430,495,344,1086,327,168
17031230700,1388,327,289,1099,188,139
17031230800,282,75,46,236,43,32
17031230900,1281,506,169,1112,254,252
17031231100,257,109,72,185,56,53
17031231200,1333,587,450,883,381,206
17031231500,1058,750,460,598,424,326
17031240200,701,95,22,679,64,31
17031240300,550,31,38,512,4,27
17031240500,1241,43,31,1210,9,34
17031240600,579,33,25,554,0,33
17031240700,557,112,9,548,58,54
17031240800,488,131,27,461,60,71
17031240900,333,158,48,285,100,58
17031241000,548,172,53,495,117,55
17031241100,1271,247,80,1191,156,91
17031241200,660,67,64,596,33,34
17031241300,717,40,18,699,25,15
17031241400,2101,363,81,2020,222,141
17031241500,1218,128,26,1192,32,96
17031241600,1515,107,47,1468,17,90
17031242000,1628,482,184,1444,218,264
17031242100,1599,102,76,1523,11,91
17031242200,1505,112,9,1496,32,80
17031242300,1496,93,8,1488,0,93
17031242400,1188,102,38,1150,25,77
17031242500,1275,250,49,1226,101,149
17031242600,2190,314,176,2014,143,171
17031242700,573,171,62,511,83,88
17031242800,556,32,6,550,29,3
17031242900,774,19,24,750,0,19
17031243000,986,44,45,941,0,44
17031243100,805,102,50,755,48,54
17031243200,825,65,1,824,40,25
17031243300,1047,67,0,1047,24,43
17031243400,1164,129,81,1083,49,80
17031243500,1674,116,55,1619,66,50
17031250200,680,122,142,538,100,22
17031250300,1107,425,217,890,244,181
17031250400,1407,424,105,1302,173,251
17031250500,2559,216,250,2309,144,72
17031250600,1105,238,192,913,153,85
17031250700,1663,425,511,1152,183,242
17031250800,555,235,153,402,103,132
17031251000,251,90,64,187,53,37
17031251100,954,533,283,671,370,163
17031251200,896,258,229,667,158,100
17031251300,1034,341,354,680,187,154
17031251400,1301,435,250,1051,264,171
17031251500,768,555,233,535,397,158
17031251600,735,334,390,345,290,44
17031251700,280,86,120,160,37,49
17031251800,1077,557,435,642,364,193
17031251900,1003,656,221,782,443,213
17031252000,1355,934,297,1058,585,349
17031252101,378,227,30,348,158,69
17031252102,1613,578,369,1244,309,269
17031252201,725,252,173,552,174,78
17031252202,940,569,352,588,444,125
17031260100,243,288,106,137,161,127
17031260200,217,98,69,148,68,30
17031260300,364,173,112,252,160,13
17031260400,215,157,105,110,107,50
17031260500,289,261,96,193,167,94
17031260600,321,240,84,237,191,49
17031260700,302,222,136,166,204,18
17031260800,486,391,155,331,321,70
17031260900,271,124,104,167,90,34
17031261000,509,161,197,312,119,42
17031270500,248,356,112,136,306,50
17031271200,267,120,114,153,99,21
17031271300,209,156,39,170,128,28
17031271400,271,180,75,196,145,35
17031271500,303,179,80,223,137,42
17031271800,94,124,16,78,104,20
17031280100,3890,206,0,3890,50,156
17031280400,398,189,137,261,171,18
17031280800,213,145,72,141,113,32
17031280900,173,205,19,154,179,26
17031281900,2903,624,0,2903,0,624
17031282700,667,102,43,624,72,30
17031282800,542,121,36,506,35,86
17031283100,801,362,50,751,133,229
17031283200,506,151,90,416,64,87
17031283800,1301,357,165,1136,220,137
17031290900,794,356,279,515,336,20
17031291200,419,358,137,282,320,38
17031291600,218,82,41,177,0,82
17031292200,487,403,187,300,335,68
17031292400,397,212,70,327,145,67
17031292500,1067,320,409,658,230,90
17031300500,729,145,119,610,78,67
17031300600,549,226,88,461,123,103
17031300700,941,352,160,781,231,121
17031300800,669,434,229,440,324,110
17031300900,813,465,175,638,270,195
17031301100,530,239,140,390,132,107
17031301200,817,324,253,564,259,65
17031301600,949,346,269,680,216,130
17031301701,764,292,209,555,205,87
17031301702,855,234,193,662,71,163
17031301801,834,218,174,660,177,41
17031301802,644,222,141,503,128,94
17031301803,995,353,226,769,233,120
17031310200,567,82,35,532,24,58
17031310300,608,115,66,542,70,45
17031310400,450,72,41,409,0,72
17031310500,453,74,68,385,23,51
17031310600,1464,558,211,1253,289,269
17031310700,390,133,34,356,52,81
17031310800,1306,219,170,1136,66,153
17031310900,1294,391,126,1168,157,234
17031320100,7659,544,0,7659,0,544
17031320400,631,73,0,631,0,73
17031320600,2463,366,19,2444,76,290
17031330100,10465,1052,426,10039,589,463
17031330200,1519,340,55,1464,182,158
17031340300,427,272,57,370,126,146
17031340400,531,152,107,424,7,145
17031340500,529,323,69,460,171,152
17031340600,172,258,84,88,159,99
17031350100,1140,362,37,1103,27,335
17031350400,251,407,116,135,365,42
17031351000,1710,557,38,1672,121,436
17031351100,255,656,80,175,522,134
17031351400,399,390,114,285,372,18
17031351500,204,107,51,153,83,24
17031360200,440,217,151,289,125,92
17031380100,597,455,131,466,390,65
17031380200,794,363,165,629,256,107
17031380500,177,153,81,96,134,19
17031380700,335,102,112,223,47,55
17031381200,730,228,169,561,89,139
17031381400,552,139,136,416,67,72
17031381500,115,61,33,82,58,3
17031381700,0,0,0,0,0,0
17031381800,478,156,77,401,90,66
17031381900,400,127,118,282,72,55
17031390100,550,113,83,467,69,44
17031390200,731,87,72,659,38,49
17031390300,988,528,234,754,279,249
17031390400,1049,380,209,840,219,161
17031390500,578,175,22,556,62,113
17031390600,641,153,56,585,63,90
17031390700,2765,570,107,2658,17,553
17031400300,396,216,107,289,193,23
17031400400,616,164,191,425,113,51
17031400500,515,247,136,379,161,86
17031400800,531,596,269,262,483,113
17031410100,947,305,78,869,68,237
17031410200,498,175,16,482,38,137
